Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",BAL,@,BOS,W,10.0,9.0,9.0,1-0,1.0,Tied,Gibson,Kluber,Bautista,3.1666666666666665,D,36049.0,1.01,1,,4.4,70.0,155.82575904,0.0,,18.4,0.1111111111111111
"Saturday, Apr 1",BAL,@,BOS,L-wo,8.0,9.0,9.0,1-1,2.0,1.0,Jansen,Bautista,None,3.066666666666667,D,29062.0,1.03,-1,,5.0,93.0,65.82575904000001,0.5,,18.4,0.25925925925925924
"Sunday, Apr 2",BAL,@,BOS,L,5.0,9.0,9.0,1-2,4.0,2.0,Houck,Irvin,None,2.7333333333333334,D,27886.0,1.00,-2,,13.9,81.0,205.82575904,0.0,,18.4,0.14814814814814814
"Monday, Apr 3",BAL,@,TEX,W,2.0,0.0,9.0,2-2,3.0,2.0,Coulombe,Gray,Bautista,2.3,N,15867.0,.91,1,,19.4,93.0,107.19716629,0.0,,7.6,0.07407407407407407
"Tuesday, Apr 4",BAL,@,TEX,W,7.0,2.0,9.0,3-2,2.0,2.0,Gibson,Heaney,None,2.5,N,16268.0,.93,2,,26.7,71.0,147.19716628999998,0.0,,29.5,0.07407407407407407
"Wednesday, Apr 5",BAL,@,TEX,L,2.0,5.0,9.0,3-3,3.0,3.0,deGrom,Voth,Leclerc,2.3166666666666664,D,18560.0,1.01,-1,,25.6,76.0,127.19716629,0.0,,29.5,0.14814814814814814
"Friday, Apr 7",BAL,Home,NYY,W,7.0,6.0,9.0,4-3,3.0,3.0,Pérez,Marinaccio,Bautista,3.066666666666667,D,45017.0,.99,1,2023-04-06 (Rain),18.3,48.0,297.66021453999997,0.0,,19.1,0.1111111111111111
"Saturday, Apr 8",BAL,Home,NYY,L,1.0,4.0,9.0,4-4,4.0,4.0,Brito,Irvin,Holmes,2.783333333333333,N,30561.0,1.05,-1,,12.2,28.0,267.66021453999997,0.0,,9.7,0.1111111111111111
"Sunday, Apr 9",BAL,Home,NYY,L,3.0,5.0,9.0,4-5,5.0,5.0,Cortés,Wells,Holmes,2.466666666666667,D,29221.0,.96,-2,,9.4,48.0,291.66021453999997,0.0,,8.6,0.1111111111111111
"Monday, Apr 10",BAL,Home,OAK,W,5.0,1.0,9.0,5-5,4.0,5.0,Gibson,Sears,None,2.8,N,9322.0,.84,1,,10.6,42.0,95.66021454,0.0,,21.6,0.037037037037037035
"Tuesday, Apr 11",BAL,Home,OAK,W,12.0,8.0,9.0,6-5,4.0,5.0,Baker,Moll,None,3.1333333333333333,N,12305.0,.89,2,,12.2,37.0,199.66021454,0.0,,15.8,0.037037037037037035
"Wednesday, Apr 12",BAL,Home,OAK,L,4.0,8.0,9.0,6-6,4.0,6.0,Smith,Akin,None,2.8333333333333335,N,10181.0,.90,-1,,18.3,26.0,245.66021454,0.0,,18.7,0.1111111111111111
"Thursday, Apr 13",BAL,Home,OAK,W-wo,8.0,7.0,9.0,7-6,4.0,6.0,Bautista,May,None,2.966666666666667,D,11665.0,.87,1,,23.3,32.0,250.66021454,0.0,,16.2,0.037037037037037035
"Friday, Apr 14",BAL,@,CHW,W,6.0,3.0,9.0,8-6,3.0,5.0,Baumann,López,Bautista,2.966666666666667,N,18941.0,.91,2,,24.4,25.0,62.93932770000001,0.0,,11.2,0.037037037037037035
"Saturday, Apr 15",BAL,@,CHW,L-wo,6.0,7.0,10.0,8-7,4.0,5.0,Lambert,Gillaspie,None,3.35,D,32091.0,.97,-1,,20.6,36.0,232.9393277,0.0,,0.0,0.1111111111111111
"Sunday, Apr 16",BAL,@,CHW,W,8.0,4.0,9.0,9-7,4.0,5.0,Baumann,Bummer,None,2.7666666666666666,D,13794.0,.93,1,,23.9,43.0,62.93932770000001,0.0,,14.8,0.1111111111111111
"Tuesday, Apr 18",BAL,@,WSN,W,1.0,0.0,9.0,10-7,3.0,4.5,Kremer,Gray,Bautista,2.5666666666666664,N,18747.0,.91,2,,13.9,42.0,311.05180647,0.0,,14.8,0.1111111111111111
"Wednesday, Apr 19",BAL,@,WSN,W,4.0,0.0,9.0,11-7,2.0,4.5,Bradish,Gore,None,2.4333333333333336,N,22598.0,.93,3,,15.0,41.0,351.05180647,0.0,,20.5,0.07407407407407407
"Friday, Apr 21",BAL,Home,DET,W-wo,2.0,1.0,9.0,12-7,2.0,4.5,Bautista,Foley,None,2.4166666666666665,N,18772.0,1.03,4,,20.6,59.0,75.66021454,0.0,,12.6,0.037037037037037035
"Saturday, Apr 22",BAL,Home,DET,W,5.0,1.0,9.0,13-7,2.0,4.5,Gibson,Wentz,None,2.25,N,12194.0,1.03,5,,22.2,53.0,148.66021454,0.0,,22.7,0.1111111111111111
"Sunday, Apr 23",BAL,Home,DET,W-wo,2.0,1.0,10.0,14-7,2.0,4.5,Akin,Englert,None,2.7333333333333334,D,36975.0,1.05,6,,16.1,84.0,302.66021453999997,0.3,,11.5,0.1111111111111111
"Monday, Apr 24",BAL,Home,BOS,W,5.0,4.0,9.0,15-7,2.0,4.5,Kremer,Sale,Cano,2.4833333333333334,N,11811.0,1.12,7,,11.1,34.0,287.66021453999997,0.0,,24.1,0.037037037037037035
"Tuesday, Apr 25",BAL,Home,BOS,L,6.0,8.0,9.0,15-8,2.0,4.5,Kluber,Bradish,Jansen,2.7333333333333334,N,14343.0,1.11,-1,,11.7,29.0,290.66021453999997,0.0,,11.2,0.1111111111111111
"Wednesday, Apr 26",BAL,Home,BOS,W,6.0,2.0,9.0,16-8,2.0,3.5,Wells,Houck,None,2.6166666666666667,D,12044.0,1.13,1,,12.2,49.0,102.66021454,0.0,,11.2,0.037037037037037035
"Thursday, Apr 27",BAL,@,DET,W,7.0,4.0,9.0,17-8,2.0,3.5,Baker,Shreve,Bautista,3.2666666666666666,N,11599.0,1.12,2,,4.8,86.0,248.7729507,0.0,,8.0,0.1111111111111111
"Sunday, Apr 30",BAL,@,DET,W,5.0,3.0,9.0,19-9,2.0,3.5,Voth,Turnbull,Cano,2.7666666666666666,D,13626.0,1.05,2,,11.5,88.0,68.7729507,0.5,,22.0,0.25925925925925924
"Tuesday, May 2",BAL,@,KCR,W,11.0,7.0,9.0,20-9,2.0,3.5,Wells,Yarbrough,None,3.066666666666667,N,10487.0,1.06,3,,11.7,39.0,313.28981806,0.0,,0.0,0.037037037037037035
"Wednesday, May 3",BAL,@,KCR,L,0.0,6.0,9.0,20-10,2.0,4.5,Greinke,Gibson,None,1.9833333333333334,N,10362.0,1.08,-1,,17.2,22.0,273.28981806,0.0,,11.2,0.037037037037037035
"Thursday, May 4",BAL,@,KCR,W,13.0,10.0,9.0,21-10,2.0,4.5,Cano,Chapman,None,3.4,D,11514.0,1.05,1,,15.6,37.0,313.28981806,0.0,,0.0,0.037037037037037035
"Friday, May 5",BAL,@,ATL,W,9.0,4.0,9.0,22-10,2.0,4.5,Kremer,Fried,None,2.75,N,40176.0,1.09,2,,13.9,69.0,202.35313,0.0,,0.0,0.1111111111111111
"Saturday, May 6",BAL,@,ATL,L,4.0,5.0,9.0,22-11,2.0,4.5,Minter,Coulombe,Iglesias,2.8666666666666667,N,41454.0,1.04,-1,,15.0,90.0,272.35312999999996,0.0,,7.6,0.1111111111111111
"Sunday, May 7",BAL,@,ATL,L-wo,2.0,3.0,12.0,22-12,2.0,5.5,Tonkin,Pérez,None,3.4833333333333334,D,40800.0,1.05,-2,,17.2,87.0,202.35313,0.0,,0.0,0.07407407407407407
"Monday, May 8",BAL,Home,TBR,L,0.0,3.0,9.0,22-13,2.0,6.5,McClanahan,Gibson,Adam,2.5833333333333335,N,12669.0,1.29,-3,,18.9,81.0,201.66021454,0.0,,9.4,0.1111111111111111
"Tuesday, May 9",BAL,Home,TBR,W,4.0,2.0,9.0,23-13,2.0,5.5,Rodriguez,Eflin,Bautista,2.3666666666666667,N,10017.0,1.24,1,,22.8,46.0,315.66021453999997,0.0,,7.9,0.1111111111111111
"Wednesday, May 10",BAL,Home,TBR,W,2.0,1.0,9.0,24-13,2.0,4.5,Kremer,Chirinos,Cano,2.3833333333333333,N,14395.0,1.29,2,,16.1,58.0,217.66021454,0.0,,9.0,0.037037037037037035
"Friday, May 12",BAL,Home,PIT,W,6.0,3.0,9.0,25-13,2.0,4.0,Baker,Hernandez,Bautista,2.783333333333333,N,25682.0,1.04,3,,21.7,57.0,192.66021454,0.0,,16.9,0.037037037037037035
"Saturday, May 13",BAL,Home,PIT,W,2.0,0.0,9.0,26-13,2.0,3.0,Wells,Contreras,Bautista,2.066666666666667,N,21926.0,1.05,4,,23.3,69.0,168.66021454,0.0,,13.3,0.1111111111111111
"Sunday, May 14",BAL,Home,PIT,L,0.0,4.0,9.0,26-14,2.0,4.0,Keller,Gibson,None,2.6166666666666667,D,36403.0,1.09,-1,,19.4,71.0,281.66021453999997,0.0,,13.3,0.1111111111111111
"Monday, May 15",BAL,Home,LAA,L,5.0,9.0,9.0,26-15,2.0,4.5,Ohtani,Rodriguez,None,2.85,N,20148.0,1.09,-2,,21.1,29.0,343.66021453999997,0.0,,21.2,0.07407407407407407
"Tuesday, May 16",BAL,Home,LAA,W,7.0,3.0,9.0,27-15,2.0,4.5,Kremer,Silseth,None,2.5833333333333335,N,13244.0,1.13,1,,19.4,47.0,191.66021454,0.0,,17.3,0.037037037037037035
"Wednesday, May 17",BAL,Home,LAA,W,3.0,1.0,9.0,28-15,2.0,3.5,Bradish,Canning,Bautista,2.5,N,15702.0,1.14,2,,21.1,59.0,232.66021454,0.0,,20.5,0.1111111111111111
"Thursday, May 18",BAL,Home,LAA,L,5.0,6.0,9.0,28-16,2.0,3.5,Devenski,Baker,Estévez,3.0833333333333335,D,27778.0,1.13,-1,,14.4,28.0,5.660214539999998,0.0,,24.1,0.037037037037037035
"Friday, May 19",BAL,@,TOR,W,6.0,2.0,9.0,29-16,2.0,3.5,Gibson,Kikuchi,None,2.8166666666666664,N,32485.0,1.27,1,,9.8,39.0,95.9095893,0.0,,15.1,0.037037037037037035
"Saturday, May 20",BAL,@,TOR,W,6.0,5.0,10.0,30-16,2.0,3.5,Bautista,García,None,3.533333333333333,D,41611.0,1.25,2,,16.8,84.0,227.9095893,0.2,,13.7,0.2962962962962963
"Sunday, May 21",BAL,@,TOR,W,8.0,3.0,11.0,31-16,2.0,2.5,Baumann,García,None,3.5166666666666666,D,41643.0,1.19,3,,12.0,74.0,293.9095893,0.0,,24.5,0.1111111111111111
"Tuesday, May 23",BAL,@,NYY,L-wo,5.0,6.0,10.0,31-17,2.0,3.0,King,Baker,None,3.0833333333333335,N,40652.0,1.29,-1,,14.4,78.0,354.38233316000003,0.0,,9.4,0.037037037037037035
"Wednesday, May 24",BAL,@,NYY,W,9.0,6.0,9.0,32-17,2.0,3.0,Baumann,Cordero,Bautista,2.7666666666666666,N,39455.0,1.32,1,,14.4,57.0,94.38233316,0.0,,11.2,0.037037037037037035
"Thursday, May 25",BAL,@,NYY,W,3.0,1.0,9.0,33-17,2.0,3.0,Gibson,Schmidt,Cano,2.8833333333333333,N,41520.0,1.26,2,,15.6,69.0,324.38233316000003,0.0,,9.4,0.1111111111111111
"Friday, May 26",BAL,Home,TEX,L,2.0,12.0,9.0,33-18,2.0,4.0,Gray,Rodriguez,None,2.6,N,20293.0,1.18,-1,,18.3,34.0,304.66021453999997,0.0,,10.4,0.1111111111111111
"Saturday, May 27",BAL,Home,TEX,L,3.0,5.0,9.0,33-19,2.0,4.0,Heaney,Kremer,None,2.466666666666667,D,37939.0,1.18,-2,,20.0,49.0,100.66021454,0.0,,22.3,0.1111111111111111
