Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",BOS,Home,BAL,L,9.0,10.0,9.0,0-1,5.0,1.0,Gibson,Kluber,Bautista,3.1666666666666665,D,36049.0,.98,-1,,4.4,70.0,155.82575904,0.0,,18.4,0.1111111111111111
"Saturday, Apr 1",BOS,Home,BAL,W-wo,9.0,8.0,9.0,1-1,2.0,1.0,Jansen,Bautista,None,3.066666666666667,D,29062.0,.92,1,,5.0,93.0,65.82575904000001,0.5,,18.4,0.25925925925925924
"Sunday, Apr 2",BOS,Home,BAL,W,9.0,5.0,9.0,2-1,2.0,1.0,Houck,Irvin,None,2.7333333333333334,D,27886.0,.97,2,,13.9,81.0,205.82575904,0.0,,18.4,0.14814814814814814
"Monday, Apr 3",BOS,Home,PIT,L,6.0,7.0,9.0,2-2,3.0,2.0,Underwood,Crawford,Bednar,2.95,N,28369.0,.92,-1,,3.3,22.0,285.82575904,0.0,,14.8,0.037037037037037035
"Tuesday, Apr 4",BOS,Home,PIT,L,1.0,4.0,9.0,2-3,4.0,3.0,Contreras,Pivetta,Bednar,2.6,N,28842.0,.84,-2,,8.3,65.0,165.82575904,0.0,,27.7,0.1111111111111111
"Wednesday, Apr 5",BOS,Home,PIT,L,1.0,4.0,9.0,2-4,5.0,4.0,Keller,Kluber,Underwood,2.533333333333333,D,24477.0,.83,-3,,8.9,83.0,335.82575904,0.0,,11.2,0.14814814814814814
"Thursday, Apr 6",BOS,@,DET,W,6.0,3.0,9.0,3-4,5.0,3.5,Sale,Turnbull,Jansen,2.533333333333333,D,44650.0,.84,1,,15.5,90.0,58.772950699999996,0.0,,30.0,0.25925925925925924
"Saturday, Apr 8",BOS,@,DET,W,14.0,5.0,9.0,4-4,4.0,4.0,Houck,Wentz,None,2.6333333333333333,D,21835.0,.86,2,,1.8,81.0,338.7729507,0.0,,9.0,0.037037037037037035
"Sunday, Apr 9",BOS,@,DET,W,4.0,1.0,9.0,5-4,4.0,4.0,Crawford,Boyd,Jansen,2.6333333333333333,D,14885.0,.90,3,,3.7,60.0,318.7729507,0.0,,9.0,0.037037037037037035
"Monday, Apr 10",BOS,@,TBR,L,0.0,1.0,9.0,5-5,4.0,5.0,Poche,Martin,Fairbanks,2.1,N,13470.0,1.05,-1,,21.1,87.0,1.0,0.0,,37.1,0.1111111111111111
"Tuesday, Apr 11",BOS,@,TBR,L,2.0,7.0,9.0,5-6,5.0,6.0,McClanahan,Whitlock,None,2.5833333333333335,N,12649.0,1.01,-2,,21.1,84.0,1.0,0.0,,44.6,0.25925925925925924
"Wednesday, Apr 12",BOS,@,TBR,L,7.0,9.0,9.0,5-7,5.0,7.0,Bradley,Sale,Fairbanks,2.7333333333333334,N,17136.0,.92,-3,,22.2,66.0,31.0,0.0,,38.9,0.1111111111111111
"Thursday, Apr 13",BOS,@,TBR,L,3.0,9.0,9.0,5-8,5.0,8.0,Kelly,Kluber,Bristo,2.6333333333333333,D,21175.0,.86,-4,,22.2,91.0,61.0,0.0,,31.7,0.1111111111111111
"Friday, Apr 14",BOS,Home,LAA,W,5.0,3.0,9.0,6-8,5.0,7.0,Winckowski,Herget,Jansen,2.95,N,36680.0,.72,1,,23.9,37.0,185.82575904,0.0,,16.6,0.07407407407407407
"Saturday, Apr 15",BOS,Home,LAA,W,9.0,7.0,9.0,7-8,5.0,6.0,Brasier,Tepera,Jansen,2.9833333333333334,D,36594.0,.78,2,,10.0,86.0,5.825759040000001,0.0,,14.8,0.1111111111111111
"Sunday, Apr 16",BOS,Home,LAA,W,2.0,1.0,9.0,8-8,5.0,6.0,Whitlock,Detmers,Brasier,1.95,D,34790.0,.84,3,,10.0,93.0,25.82575904,0.0,,13.0,0.14814814814814814
"Monday, Apr 17",BOS,Home,LAA,L,4.0,5.0,9.0,8-9,5.0,6.0,Davidson,Bello,Estévez,3.05,D,34942.0,.86,-1,,8.9,100.0,25.82575904,0.0,,11.2,0.18518518518518517
"Tuesday, Apr 18",BOS,Home,MIN,W-wo,5.0,4.0,10.0,9-9,5.0,6.0,Schreiber,Morán,None,3.1166666666666667,N,28132.0,.85,1,,11.1,93.0,235.82575904,0.0,,9.4,0.1111111111111111
"Wednesday, Apr 19",BOS,Home,MIN,L,4.0,10.0,9.0,9-10,5.0,7.0,Ryan,Kluber,Headrick,2.6166666666666667,N,30027.0,.85,-1,,11.1,46.0,235.82575904,0.0,,22.3,0.07407407407407407
"Thursday, Apr 20",BOS,Home,MIN,W,11.0,5.0,9.0,10-10,5.0,6.5,Houck,Maeda,None,2.6666666666666665,D,34427.0,.79,1,,8.3,49.0,225.82575904,0.0,,20.5,0.07407407407407407
"Friday, Apr 21",BOS,@,MIL,W,5.0,3.0,9.0,11-10,5.0,6.5,Pivetta,Peralta,Jansen,2.6333333333333333,N,24976.0,.83,2,,15.0,72.0,111.14629529999999,0.0,,24.1,0.1111111111111111
"Saturday, Apr 22",BOS,@,MIL,L,4.0,5.0,9.0,11-11,5.0,7.5,Miley,Whitlock,Williams,2.3833333333333333,N,31965.0,.86,-1,,8.3,48.0,141.1462953,0.0,,13.0,0.1111111111111111
"Sunday, Apr 23",BOS,@,MIL,W,12.0,5.0,9.0,12-11,5.0,7.5,Ort,Bush,None,3.033333333333333,D,26939.0,.79,1,,5.6,57.0,161.1462953,0.0,,14.8,0.1111111111111111
"Monday, Apr 24",BOS,@,BAL,L,4.0,5.0,9.0,12-12,5.0,8.5,Kremer,Sale,Cano,2.4833333333333334,N,11811.0,.92,-1,,11.1,34.0,287.66021453999997,0.0,,24.1,0.037037037037037035
"Tuesday, Apr 25",BOS,@,BAL,W,8.0,6.0,9.0,13-12,5.0,7.5,Kluber,Bradish,Jansen,2.7333333333333334,N,14343.0,.86,1,,11.7,29.0,290.66021453999997,0.0,,11.2,0.1111111111111111
"Wednesday, Apr 26",BOS,@,BAL,L,2.0,6.0,9.0,13-13,5.0,7.5,Wells,Houck,None,2.6166666666666667,D,12044.0,.93,-1,,12.2,49.0,102.66021454,0.0,,11.2,0.037037037037037035
"Friday, Apr 28",BOS,Home,CLE,L,2.0,5.0,9.0,13-14,5.0,9.0,Bieber,Pivetta,Clase,2.4166666666666665,N,30578.0,.79,-2,,9.4,83.0,155.82575904,0.0,,13.0,0.07407407407407407
"Saturday, Apr 29",BOS,Home,CLE,W-wo,8.0,7.0,10.0,14-14,5.0,9.0,Bernardino,Clase,None,3.283333333333333,D,31717.0,.75,1,,10.0,83.0,85.82575904000001,0.0,,9.4,0.1111111111111111
"Sunday, Apr 30",BOS,Home,CLE,W,7.0,1.0,9.0,15-14,4.0,8.0,Sale,Allen,None,2.533333333333333,D,29395.0,.78,2,,9.4,93.0,45.82575904,0.0,,25.9,0.25925925925925924
"Monday, May 1",BOS,Home,TOR,W-wo,6.0,5.0,9.0,16-14,4.0,7.5,Winckowski,Romano,None,2.7666666666666666,N,27438.0,.88,3,,12.2,97.0,65.82575904000001,2.8,,37.1,0.3333333333333333
"Tuesday, May 2",BOS,Home,TOR,W,7.0,6.0,9.0,17-14,4.0,7.5,Bleier,Swanson,Winckowski,2.6333333333333333,N,27721.0,.91,4,,10.6,77.0,135.82575904,0.0,,13.0,0.07407407407407407
"Wednesday, May 3",BOS,Home,TOR,W,8.0,3.0,9.0,18-14,4.0,7.5,Pivetta,Manoah,None,3.216666666666667,N,27963.0,.92,5,,9.4,83.0,185.82575904,0.0,,14.8,0.1111111111111111
"Thursday, May 4",BOS,Home,TOR,W,11.0,5.0,9.0,19-14,3.0,7.5,Bello,Gausman,None,2.8833333333333333,N,30173.0,1.00,6,,9.4,90.0,25.82575904,0.0,,25.9,0.14814814814814814
"Friday, May 5",BOS,@,PHI,W,5.0,3.0,9.0,20-14,3.0,7.5,Sale,Wheeler,Jansen,2.6833333333333336,N,43322.0,.90,7,,10.0,83.0,199.92948032,0.0,,7.6,0.1111111111111111
"Saturday, May 6",BOS,@,PHI,W,7.0,4.0,9.0,21-14,3.0,6.5,Kluber,Falter,Jansen,2.8333333333333335,N,43832.0,.90,8,,11.7,71.0,139.92948032,0.0,,5.4,0.07407407407407407
"Sunday, May 7",BOS,@,PHI,L,1.0,6.0,9.0,21-15,4.0,7.5,Walker,Houck,Strahm,2.2333333333333334,D,44669.0,.95,-1,,15.0,55.0,229.92948032,0.0,,14.8,0.07407407407407407
"Tuesday, May 9",BOS,@,ATL,L,3.0,9.0,9.0,21-16,4.0,8.0,Morton,Pivetta,None,2.7,N,36805.0,.92,-2,,22.2,91.0,52.35312999999999,0.0,,5.4,0.1111111111111111
"Wednesday, May 10",BOS,@,ATL,W,5.0,2.0,9.0,22-16,3.0,7.0,Bello,Minter,Jansen,2.716666666666667,N,40270.0,.87,1,,20.6,93.0,202.35313,0.0,,0.0,0.037037037037037035
"Friday, May 12",BOS,Home,STL,L,6.0,8.0,9.0,22-17,4.0,7.5,Helsley,Jansen,None,2.8666666666666667,N,34553.0,.93,-1,,18.3,52.0,145.82575904,0.0,,9.4,0.07407407407407407
"Saturday, May 13",BOS,Home,STL,L,3.0,4.0,9.0,22-18,5.0,7.5,Pallante,Jansen,Gallegos,2.4,D,35935.0,.90,-2,,20.6,51.0,315.82575904,0.0,,0.0,0.1111111111111111
"Sunday, May 14",BOS,Home,STL,L,1.0,9.0,9.0,22-19,5.0,8.5,Mikolas,Kluber,None,3.0166666666666666,N,27732.0,.84,-3,,17.8,31.0,315.82575904,0.0,,16.6,0.07407407407407407
"Monday, May 15",BOS,Home,SEA,L,1.0,10.0,9.0,22-20,5.0,9.0,Kirby,Houck,None,2.966666666666667,N,31744.0,.85,-4,,15.6,29.0,285.82575904,0.0,,16.6,0.07407407407407407
"Tuesday, May 16",BOS,Home,SEA,W,9.0,4.0,9.0,23-20,5.0,9.0,Pivetta,Castillo,None,2.6666666666666665,N,31476.0,.83,1,,18.3,34.0,195.82575904,0.0,,18.4,0.1111111111111111
"Wednesday, May 17",BOS,Home,SEA,W,12.0,3.0,9.0,24-20,5.0,8.0,Bello,Gonzales,None,2.95,N,32209.0,.83,2,,20.6,42.0,195.82575904,0.0,,18.4,0.1111111111111111
"Friday, May 19",BOS,@,SDP,W,6.0,1.0,9.0,25-20,4.0,7.5,Paxton,Snell,Winckowski,2.4166666666666665,N,41530.0,.86,3,,16.7,75.0,230.26252469999997,0.0,,11.2,0.1111111111111111
"Saturday, May 20",BOS,@,SDP,W,4.0,2.0,9.0,26-20,4.0,7.5,Sale,Musgrove,Jansen,2.85,N,40215.0,.89,4,,17.2,75.0,220.26252469999997,0.0,,7.6,0.1111111111111111
"Sunday, May 21",BOS,@,SDP,L,0.0,7.0,9.0,26-21,4.0,7.5,Wacha,Kluber,None,2.6333333333333333,D,42825.0,.90,-1,,17.2,78.0,280.2625247,0.0,,7.6,0.1111111111111111
"Monday, May 22",BOS,@,LAA,L,1.0,2.0,9.0,26-22,4.0,8.5,Silseth,Crawford,None,2.0833333333333335,N,25314.0,.91,-2,,18.9,75.0,155.82863453,0.0,,14.8,0.037037037037037035
"Tuesday, May 23",BOS,@,LAA,L,0.0,4.0,9.0,26-23,4.0,8.5,Canning,Bello,None,2.216666666666667,N,25798.0,.89,-3,,18.3,76.0,155.82863453,0.0,,11.2,0.037037037037037035
"Wednesday, May 24",BOS,@,LAA,L,3.0,7.0,9.0,26-24,4.0,9.5,Anderson,Paxton,None,2.55,N,26596.0,.84,-4,,17.2,84.0,125.82863453,0.0,,11.2,0.037037037037037035
"Friday, May 26",BOS,@,ARI,W,7.0,2.0,9.0,27-24,4.0,10.0,Sale,Pfaadt,None,2.75,N,25467.0,.72,1,,34.4,10.0,320.2508321,0.0,,16.6,0.07407407407407407
"Saturday, May 27",BOS,@,ARI,W,2.0,1.0,9.0,28-24,4.0,9.0,Whitlock,Davies,Jansen,2.8166666666666664,D,29142.0,.79,2,,32.2,10.0,270.2508321,0.0,,27.7,0.037037037037037035
"Sunday, May 28",BOS,@,ARI,L,2.0,4.0,9.0,28-25,4.0,10.0,Kelly,Houck,Castro,2.716666666666667,D,26051.0,.85,-1,,33.3,8.0,310.2508321,0.0,,13.0,0.037037037037037035
"Tuesday, May 30",BOS,Home,CIN,L,8.0,9.0,9.0,28-26,5.0,9.5,Lively,Bello,Díaz,3.2,N,31642.0,.79,-2,,12.2,69.0,65.82575904000001,0.0,,9.4,0.037037037037037035
"Wednesday, May 31",BOS,Home,CIN,L,4.0,5.0,9.0,28-27,5.0,10.5,Gibaut,Winckowski,Farmer,3.033333333333333,N,32593.0,.70,-3,,12.8,69.0,155.82575904,0.0,,11.2,0.037037037037037035
"Thursday, Jun 1",BOS,Home,CIN,W,8.0,2.0,9.0,29-27,5.0,10.0,Martin,Herget,None,2.6333333333333333,N,31204.0,.70,1,,18.9,65.0,165.82575904,0.0,,16.6,0.07407407407407407
"Sunday, Jun 4",BOS,Home,TBR,L,2.0,6.0,9.0,30-29,5.0,11.0,Bradley,Houck,None,2.6166666666666667,D,34192.0,.80,-2,,8.9,83.0,355.82575904,0.0,,27.7,0.14814814814814814
"Monday, Jun 5",BOS,Home,TBR,L,1.0,4.0,9.0,30-30,5.0,12.0,McClanahan,Bello,Adam,2.5833333333333335,D,30860.0,.64,-3,2023-06-02 (Rain),10.6,89.0,315.82575904,0.2,,22.3,0.25925925925925924
"Tuesday, Jun 6",BOS,@,CLE,W,5.0,4.0,9.0,31-30,5.0,12.0,Paxton,De Los Santos,Jansen,2.85,N,21471.0,.55,1,,18.3,44.0,0.7452076999999804,0.0,,0.0,0.037037037037037035
"Wednesday, Jun 7",BOS,@,CLE,L,2.0,5.0,9.0,31-31,5.0,13.0,Bibee,Crawford,Clase,2.533333333333333,N,19444.0,.62,-1,,16.1,60.0,340.7452077,0.0,,7.6,0.18518518518518517
"Thursday, Jun 8",BOS,@,CLE,L,3.0,10.0,9.0,31-32,5.0,14.0,Civale,Dermody,None,2.6,N,21473.0,.57,-2,,15.6,60.0,0.7452076999999804,0.0,,9.4,0.037037037037037035
"Friday, Jun 9",BOS,@,NYY,W,3.0,2.0,9.0,32-32,5.0,14.0,Whitlock,Cole,Jansen,2.466666666666667,N,46007.0,.59,1,,18.3,54.0,204.38233316,0.0,,5.4,0.07407407407407407
"Saturday, Jun 10",BOS,@,NYY,L,1.0,3.0,9.0,32-33,5.0,14.0,Germán,Houck,Holmes,2.4833333333333334,N,46061.0,.64,-1,,17.2,75.0,134.38233316,0.0,,5.4,0.1111111111111111
"Sunday, Jun 11",BOS,@,NYY,W,3.0,2.0,10.0,33-33,5.0,14.0,Jansen,Marinaccio,Martin,2.85,N,46138.0,.58,1,,20.6,66.0,234.38233316,0.0,,5.4,0.1111111111111111
"Monday, Jun 12",BOS,Home,COL,L,3.0,4.0,10.0,33-34,5.0,14.0,Bard,Pivetta,Carasiti,3.0833333333333335,N,32227.0,.57,-1,,18.9,70.0,155.82575904,0.0,,14.8,0.1111111111111111
"Tuesday, Jun 13",BOS,Home,COL,L,6.0,7.0,10.0,33-35,5.0,14.0,Bard,Garza,Johnson,3.4833333333333334,N,31400.0,.49,-2,,16.7,100.0,65.82575904000001,0.0,,16.6,0.18518518518518517
"Wednesday, Jun 14",BOS,Home,COL,W,6.0,3.0,9.0,34-35,5.0,14.0,Whitlock,Gomber,None,2.5166666666666666,N,31977.0,.43,1,,16.1,93.0,335.82575904,0.0,,9.4,0.14814814814814814
"Friday, Jun 16",BOS,Home,NYY,W,15.0,5.0,9.0,35-35,5.0,14.5,Jacques,Germán,None,2.8833333333333333,N,37086.0,.55,2,,24.4,47.0,235.82575904,0.0,,13.0,0.07407407407407407
"Monday, Jun 19",BOS,@,MIN,W,9.0,3.0,9.0,38-35,5.0,12.0,Paxton,López,None,2.8333333333333335,N,22081.0,.67,5,,21.1,78.0,29.496054209999997,0.0,,9.4,0.6296296296296297
"Tuesday, Jun 20",BOS,@,MIN,W,10.0,4.0,9.0,39-35,5.0,11.0,Crawford,Ober,Kluber,2.6166666666666667,N,22650.0,.70,6,,27.8,55.0,39.49605421,0.0,,14.8,0.037037037037037035
"Wednesday, Jun 21",BOS,@,MIN,L-wo,4.0,5.0,10.0,39-36,5.0,12.0,Morán,Ort,None,2.8833333333333333,N,23912.0,.75,-1,,28.3,40.0,39.49605421,0.0,,13.0,0.037037037037037035
"Thursday, Jun 22",BOS,@,MIN,L,0.0,6.0,9.0,39-37,5.0,12.0,Ryan,Garza,None,2.25,D,28553.0,.70,-2,,29.4,40.0,49.49605421,0.0,,13.0,0.07407407407407407
"Friday, Jun 23",BOS,@,CHW,W,3.0,1.0,9.0,40-37,5.0,12.0,Bello,Giolito,Jansen,2.45,N,27015.0,.65,1,,23.3,48.0,272.93932770000004,0.0,,5.4,0.037037037037037035
"Saturday, Jun 24",BOS,@,CHW,L-wo,4.0,5.0,9.0,40-38,5.0,12.0,Graveman,Jansen,None,2.7666666666666666,D,33054.0,.77,-1,,22.8,53.0,342.93932770000004,0.0,,11.2,0.037037037037037035
"Sunday, Jun 25",BOS,@,CHW,L,1.0,4.0,9.0,40-39,5.0,13.0,Scholtens,Crawford,Middleton,2.6,D,26077.0,.70,-2,,26.7,52.0,352.93932770000004,0.0,,9.4,0.1111111111111111
"Tuesday, Jun 27",BOS,Home,MIA,L,1.0,10.0,9.0,40-40,5.0,13.0,Alcántara,Whitlock,None,2.5666666666666664,N,35327.0,.61,-3,,22.8,90.0,115.82575904000001,0.0,,14.8,0.25925925925925924
"Wednesday, Jun 28",BOS,Home,MIA,L,2.0,6.0,9.0,40-41,5.0,14.0,Garrett,Pivetta,Puk,2.6166666666666667,N,34261.0,.57,-4,,21.7,84.0,155.82575904,0.0,,22.3,0.14814814814814814
"Thursday, Jun 29",BOS,Home,MIA,L,0.0,2.0,9.0,40-42,5.0,15.0,Nardi,Bello,Puk,2.35,N,36559.0,.52,-5,,21.1,93.0,175.82575904,1.3,,13.0,0.1111111111111111
"Friday, Jun 30",BOS,@,TOR,W,5.0,0.0,9.0,41-42,5.0,15.0,Paxton,Berríos,None,2.5,N,37218.0,.53,1,,20.6,56.0,128.9095893,0.0,,17.3,0.037037037037037035
"Saturday, Jul 1",BOS,@,TOR,W,7.0,6.0,9.0,42-42,5.0,14.0,Crawford,Kikuchi,Jansen,3.1,D,41813.0,.64,2,,21.0,76.0,169.9095893,0.0,,11.9,0.07407407407407407
"Sunday, Jul 2",BOS,@,TOR,W,5.0,4.0,9.0,43-42,5.0,13.0,Martin,Romano,Jacques,2.9833333333333334,D,41455.0,.68,3,,23.8,77.0,167.9095893,0.0,,5.0,0.1111111111111111
"Tuesday, Jul 4",BOS,Home,TEX,L,2.0,6.0,9.0,43-43,5.0,13.0,Dunning,Ort,Smith,2.6666666666666665,D,36136.0,.67,-1,,20.6,90.0,105.82575904000001,0.0,,13.0,0.14814814814814814
"Wednesday, Jul 5",BOS,Home,TEX,W,4.0,2.0,9.0,44-43,5.0,12.0,Bello,Gray,Jansen,2.35,N,31568.0,.64,1,,20.0,96.0,265.82575904,0.0,,13.0,0.1111111111111111
"Thursday, Jul 6",BOS,Home,TEX,W,10.0,6.0,9.0,45-43,5.0,11.0,Winckowski,Sborz,None,3.2333333333333334,N,33847.0,.70,2,,23.9,88.0,155.82575904,0.0,,7.6,0.07407407407407407
"Friday, Jul 7",BOS,Home,OAK,W,7.0,3.0,9.0,46-43,5.0,10.0,Pivetta,Long,None,2.35,N,31157.0,.70,3,,25.6,71.0,145.82575904,0.0,,14.8,0.07407407407407407
