Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",CHW,@,HOU,W,3.0,2.0,9.0,1-0,1.0,Tied,Graveman,Pressly,López,2.6333333333333333,N,43032.0,.94,1,,17.0,68.0,136.82615859999999,0.0,,18.4,0.1111111111111111
"Friday, Mar 31",CHW,@,HOU,L,3.0,6.0,9.0,1-1,2.0,0.5,Martinez,Graveman,Montero,2.6666666666666665,N,41453.0,1.01,-1,,23.0,89.0,176.82615859999999,0.0,,22.3,0.18518518518518517
"Saturday, Apr 1",CHW,@,HOU,L,4.0,6.0,9.0,1-2,3.0,1.5,Stanek,Kelly,Neris,3.183333333333333,D,37519.0,.97,-2,,23.0,94.0,176.82615859999999,0.0,,16.6,0.18518518518518517
"Sunday, Apr 2",CHW,@,HOU,W,6.0,3.0,9.0,2-2,3.0,1.5,Clevinger,Garcia,None,3.1,D,42835.0,.89,1,,24.0,54.0,166.82615859999999,0.0,,13.0,0.1111111111111111
"Monday, Apr 3",CHW,Home,SFG,L,3.0,12.0,9.0,2-3,3.0,2.5,DeSclafani,Kopech,None,2.6,D,34784.0,.93,-1,,11.7,54.0,62.93932770000001,0.0,,22.3,0.037037037037037035
"Wednesday, Apr 5",CHW,Home,SFG,W,7.0,3.0,9.0,3-3,3.0,1.5,Cease,Webb,None,2.8166666666666664,D,15980.0,.89,1,,20.0,81.0,2.939327700000007,0.3,,20.5,0.25925925925925924
"Thursday, Apr 6",CHW,Home,SFG,L,6.0,16.0,9.0,3-4,3.0,2.0,Junis,Lynn,None,2.8333333333333335,D,18261.0,.88,-1,,5.0,65.0,122.9393277,0.0,,22.3,0.1111111111111111
"Friday, Apr 7",CHW,@,PIT,L,9.0,13.0,9.0,3-5,3.0,2.5,Moreta,Diekman,Crowe,2.8,D,39167.0,.86,-2,,8.3,48.0,143.42357570000001,0.0,,5.4,0.14814814814814814
"Saturday, Apr 8",CHW,@,PIT,W,11.0,5.0,9.0,4-5,3.0,2.5,Clevinger,Velasquez,None,3.066666666666667,N,21162.0,.83,1,,3.9,39.0,273.4235757,0.0,,14.8,0.1111111111111111
"Sunday, Apr 9",CHW,@,PIT,L,0.0,1.0,9.0,4-6,3.0,2.5,Oviedo,Kopech,Bednar,2.35,D,10571.0,.87,-1,,7.2,35.0,233.42357570000001,0.0,,9.4,0.1111111111111111
"Monday, Apr 10",CHW,@,MIN,W,4.0,3.0,9.0,5-6,3.0,2.0,Cease,Maeda,López,2.65,D,12078.0,.95,1,,11.7,61.0,269.49605421,0.0,,0.0,0.1111111111111111
"Tuesday, Apr 11",CHW,@,MIN,L-wo,3.0,4.0,10.0,5-7,3.0,2.5,Jax,Scholtens,None,2.3833333333333333,N,16153.0,1.03,-1,,14.4,39.0,269.49605421,0.0,,0.0,0.1111111111111111
"Wednesday, Apr 12",CHW,@,MIN,L,1.0,3.0,9.0,5-8,3.0,3.5,Gray,Giolito,Durán,2.6166666666666667,D,17658.0,1.02,-2,,22.8,29.0,89.49605421,0.0,,14.8,0.037037037037037035
"Friday, Apr 14",CHW,Home,BAL,L,3.0,6.0,9.0,5-9,3.0,5.0,Baumann,López,Bautista,2.966666666666667,N,18941.0,.82,-3,,24.4,25.0,62.93932770000001,0.0,,11.2,0.037037037037037035
"Saturday, Apr 15",CHW,Home,BAL,W-wo,7.0,6.0,10.0,6-9,3.0,4.0,Lambert,Gillaspie,None,3.35,D,32091.0,.76,1,,20.6,36.0,232.9393277,0.0,,0.0,0.1111111111111111
"Sunday, Apr 16",CHW,Home,BAL,L,4.0,8.0,9.0,6-10,3.0,4.0,Baumann,Bummer,None,2.7666666666666666,D,13794.0,.81,-1,,23.9,43.0,62.93932770000001,0.0,,14.8,0.1111111111111111
