Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",CIN,Home,PIT,L,4.0,5.0,9.0,0-1,3.0,1.0,Zastryzny,Farmer,Bednar,3.033333333333333,D,44063.0,1.00,-1,,4.4,70.0,247.65726460000002,0.0,,16.6,0.07407407407407407
"Saturday, Apr 1",CIN,Home,PIT,W,6.0,2.0,9.0,1-1,1.0,Tied,Lodolo,Hill,None,2.2666666666666666,D,22224.0,.97,1,,16.7,84.0,67.6572646,0.0,,18.4,0.2962962962962963
"Sunday, Apr 2",CIN,Home,PIT,W,3.0,1.0,9.0,2-1,1.0,Tied,Ashcraft,Velasquez,Díaz,2.4,D,14421.0,.98,2,,5.0,89.0,147.65726460000002,0.0,,16.6,0.1111111111111111
"Monday, Apr 3",CIN,Home,CHC,W,7.0,6.0,9.0,3-1,1.0,Tied,Cruz,Smyly,Law,2.5833333333333335,N,11941.0,1.04,3,,6.7,70.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Tuesday, Apr 4",CIN,Home,CHC,L,5.0,12.0,9.0,3-2,2.0,1.0,Alzolay,Farmer,None,2.8666666666666667,N,13399.0,1.04,-1,,16.1,58.0,77.6572646,0.0,,20.5,0.037037037037037035
"Friday, Apr 7",CIN,@,PHI,L,2.0,5.0,9.0,3-3,3.0,2.5,Soto,Law,Kimbrel,2.716666666666667,D,44365.0,1.01,-2,2023-04-06 (Rain),15.6,75.0,309.92948032,0.8,,9.4,0.25925925925925924
"Saturday, Apr 8",CIN,@,PHI,L-wo,2.0,3.0,9.0,3-4,4.0,2.5,Vasquez,Díaz,None,2.783333333333333,D,44526.0,.92,-3,,10.6,30.0,309.92948032,0.0,,9.4,0.14814814814814814
"Sunday, Apr 9",CIN,@,PHI,W,6.0,4.0,9.0,4-4,3.0,2.5,Herget,Domínguez,Gibaut,2.7,D,39129.0,.90,1,,6.1,53.0,169.92948032,0.0,,9.4,0.1111111111111111
"Monday, Apr 10",CIN,@,ATL,L-wo,4.0,5.0,10.0,4-5,4.0,2.5,Lee,Law,None,2.783333333333333,N,30237.0,.95,-1,,11.1,52.0,272.35312999999996,0.0,,5.4,0.037037037037037035
"Tuesday, Apr 11",CIN,@,ATL,L,6.0,7.0,9.0,4-6,4.0,3.5,Tonkin,Cessa,Anderson,2.7333333333333334,N,33559.0,.93,-2,,10.0,61.0,202.35313,0.0,,0.0,0.037037037037037035
"Wednesday, Apr 12",CIN,@,ATL,L,4.0,5.0,9.0,4-7,5.0,3.5,Yates,Farmer,Minter,2.533333333333333,N,30648.0,.87,-3,,10.0,68.0,202.35313,0.0,,0.0,0.037037037037037035
"Thursday, Apr 13",CIN,Home,PHI,W,6.0,2.0,9.0,5-7,4.0,3.5,Lodolo,Falter,Díaz,2.5666666666666664,N,12170.0,.81,1,,15.0,64.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Friday, Apr 14",CIN,Home,PHI,L,3.0,8.0,9.0,5-8,5.0,4.5,Walker,Overton,None,2.7,N,17610.0,.85,-1,,15.0,72.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Saturday, Apr 15",CIN,Home,PHI,W,13.0,0.0,9.0,6-8,4.0,3.5,Ashcraft,Strahm,None,2.65,D,25860.0,.80,1,,17.8,70.0,87.6572646,0.0,,11.2,0.1111111111111111
"Sunday, Apr 16",CIN,Home,PHI,L,3.0,14.0,9.0,6-9,5.0,4.5,Nola,Cessa,None,3.033333333333333,D,13115.0,.86,-1,,14.4,90.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Monday, Apr 17",CIN,Home,TBR,W,8.0,1.0,9.0,7-9,4.0,4.5,Gibaut,Beeks,None,2.466666666666667,N,7375.0,.74,1,,8.3,65.0,137.65726460000002,0.0,,20.5,0.1111111111111111
"Tuesday, Apr 18",CIN,Home,TBR,L,0.0,10.0,9.0,7-10,4.0,5.5,Bradley,Lodolo,None,2.4166666666666665,N,11304.0,.77,-1,,4.4,89.0,277.6572646,0.0,,5.4,0.07407407407407407
"Wednesday, Apr 19",CIN,Home,TBR,L,0.0,8.0,9.0,7-11,5.0,6.5,Rasmussen,Stoudt,None,2.4166666666666665,D,10205.0,.72,-2,,10.0,61.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Thursday, Apr 20",CIN,@,PIT,L,3.0,4.0,9.0,7-12,5.0,7.0,Contreras,Weaver,Bednar,2.15,N,14051.0,.72,-3,,15.0,38.0,243.42357570000001,0.0,,0.0,0.07407407407407407
"Friday, Apr 21",CIN,@,PIT,L,2.0,4.0,9.0,7-13,5.0,7.0,Keller,Law,Bednar,2.35,N,17276.0,.71,-4,,19.4,32.0,63.4235757,0.0,,7.6,0.07407407407407407
"Saturday, Apr 22",CIN,@,PIT,L,1.0,2.0,9.0,7-14,5.0,8.0,Hill,Cessa,Underwood,2.3333333333333335,N,12575.0,.64,-5,,17.8,65.0,233.42357570000001,0.0,,33.5,0.14814814814814814
"Sunday, Apr 23",CIN,@,PIT,L,0.0,2.0,9.0,7-15,5.0,8.5,Velasquez,Greene,Bednar,2.3333333333333335,D,11372.0,.56,-6,,7.8,83.0,243.42357570000001,0.0,,0.0,0.1111111111111111
