Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",CLE,@,SEA,L,0.0,3.0,9.0,0-1,3.0,1.0,Sewald,Karinchak,Muñoz,2.2333333333333334,N,45268.0,.94,-1,,12.8,25.0,310.69115924,0.0,,0.0,0.1111111111111111
"Friday, Mar 31",CLE,@,SEA,W,9.0,4.0,9.0,1-1,2.0,0.5,Sandlin,Ray,None,3.0833333333333335,N,31516.0,.91,1,,8.3,61.0,160.69115924,0.0,,13.0,0.07407407407407407
"Saturday, Apr 1",CLE,@,SEA,W,2.0,0.0,9.0,2-1,2.0,0.5,Civale,Gilbert,Clase,2.066666666666667,N,44250.0,.94,2,,7.2,90.0,100.69115923999999,0.3,,18.4,0.3333333333333333
"Sunday, Apr 2",CLE,@,SEA,W,6.0,5.0,10.0,3-1,2.0,0.5,De Los Santos,Murfee,Stephan,2.95,D,34045.0,.97,3,,7.2,60.0,160.69115924,0.0,,13.0,0.037037037037037035
"Monday, Apr 3",CLE,@,OAK,W,12.0,11.0,10.0,4-1,2.0,0.5,Clase,May,Morgan,3.3166666666666664,N,3035.0,1.07,4,,10.0,74.0,245.48883674,0.0,,20.5,0.1111111111111111
"Tuesday, Apr 4",CLE,@,OAK,L-wo,3.0,4.0,9.0,4-2,2.0,0.5,May,Karinchak,None,2.6833333333333336,N,3407.0,1.06,-1,,10.0,61.0,245.48883674,0.0,,55.4,0.07407407407407407
"Wednesday, Apr 5",CLE,@,OAK,W,6.0,4.0,10.0,5-2,1.0,up 0.5,Morgan,Jackson,Clase,2.966666666666667,D,4930.0,1.06,1,,10.6,61.0,225.48883674,0.0,,22.3,0.1111111111111111
"Friday, Apr 7",CLE,Home,SEA,L,3.0,5.0,9.0,5-3,2.0,0.5,Murfee,Civale,Sewald,2.5666666666666664,D,34821.0,1.08,-1,,8.3,61.0,250.74520769999998,0.0,,14.8,0.1111111111111111
"Saturday, Apr 8",CLE,Home,SEA,L,2.0,3.0,9.0,5-4,2.0,1.5,Gonzales,Quantrill,Sewald,2.5833333333333335,N,17489.0,1.07,-2,,3.3,55.0,80.74520769999998,0.0,,9.4,0.07407407407407407
"Sunday, Apr 9",CLE,Home,SEA,W-wo,7.0,6.0,12.0,6-4,2.0,0.5,Herrin,Murfee,None,3.8,D,12716.0,1.02,1,,5.6,49.0,70.74520769999998,0.0,,5.4,0.037037037037037035
"Monday, Apr 10",CLE,Home,NYY,W,3.0,2.0,9.0,7-4,1.0,up 0.5,Bieber,Hamilton,Clase,2.4833333333333334,N,19278.0,1.07,2,,7.8,53.0,70.74520769999998,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 11",CLE,Home,NYY,L,2.0,11.0,9.0,7-5,2.0,0.5,Cole,Gaddis,None,2.4,N,20164.0,1.12,-1,,12.2,37.0,160.74520769999998,0.0,,7.6,0.1111111111111111
"Wednesday, Apr 12",CLE,Home,NYY,L,3.0,4.0,9.0,7-6,2.0,1.5,Peralta,Clase,Holmes,2.7333333333333334,D,23164.0,1.09,-2,,18.9,34.0,220.74520769999998,0.0,,20.5,0.1111111111111111
"Friday, Apr 14",CLE,@,WSN,W,4.0,3.0,9.0,8-6,2.0,2.0,Stephan,Edwards,Clase,2.6833333333333336,N,21367.0,.95,1,,20.0,49.0,151.05180647,0.0,,11.2,0.07407407407407407
"Saturday, Apr 15",CLE,@,WSN,W,6.0,4.0,9.0,9-6,2.0,1.0,Plesac,Kuhl,Clase,2.9166666666666665,D,24909.0,1.03,2,,19.4,91.0,151.05180647,0.0,,11.2,0.14814814814814814
"Sunday, Apr 16",CLE,@,WSN,L,6.0,7.0,9.0,9-7,2.0,1.0,Thompson,Sandlin,Finnegan,2.533333333333333,D,21929.0,1.03,-1,,19.4,84.0,201.05180647,0.0,,13.0,0.1111111111111111
"Wednesday, Apr 19",CLE,@,DET,W,3.0,2.0,9.0,10-9,2.0,1.5,Quantrill,Turnbull,Clase,2.3833333333333333,D,11230.0,1.05,1,,6.1,57.0,118.7729507,0.0,,17.0,0.07407407407407407
"Sunday, Apr 23",CLE,Home,MIA,W,7.0,4.0,9.0,11-11,2.0,1.0,Allen,Luzardo,Clase,2.45,D,12664.0,.92,1,,8.9,68.0,270.7452077,0.0,,33.5,0.1111111111111111
"Monday, Apr 24",CLE,Home,COL,L,0.0,6.0,9.0,11-12,2.0,2.0,Gomber,Quantrill,None,2.4166666666666665,N,9258.0,.97,-1,,6.1,76.0,200.74520769999998,0.5,,9.4,0.3333333333333333
"Tuesday, Apr 25",CLE,Home,COL,L,1.0,5.0,9.0,11-13,2.0,3.0,Feltner,Battenfield,None,2.3666666666666667,N,9493.0,.90,-2,,6.1,60.0,230.74520769999998,0.0,,13.0,0.07407407407407407
"Wednesday, Apr 26",CLE,Home,COL,W,4.0,1.0,9.0,12-13,2.0,2.0,Bibee,Márquez,Clase,2.533333333333333,D,9841.0,.87,1,,6.7,82.0,30.74520769999998,1.0,,14.8,0.3333333333333333
"Friday, Apr 28",CLE,@,BOS,W,5.0,2.0,9.0,13-13,2.0,2.5,Bieber,Pivetta,Clase,2.4166666666666665,N,30578.0,.95,2,,9.4,83.0,155.82575904,0.0,,13.0,0.07407407407407407
"Saturday, Apr 29",CLE,@,BOS,L-wo,7.0,8.0,10.0,13-14,2.0,2.5,Bernardino,Clase,None,3.283333333333333,D,31717.0,1.01,-1,,10.0,83.0,85.82575904000001,0.0,,9.4,0.1111111111111111
"Sunday, Apr 30",CLE,@,BOS,L,1.0,7.0,9.0,13-15,2.0,3.5,Sale,Allen,None,2.533333333333333,D,29395.0,.97,-2,,9.4,93.0,45.82575904,0.0,,25.9,0.25925925925925924
"Monday, May 1",CLE,@,NYY,W,3.0,2.0,9.0,14-15,2.0,3.0,De Los Santos,Holmes,Clase,2.1,N,33414.0,.93,1,,13.1,99.0,344.38233316000003,11.6,,14.8,0.3333333333333333
"Tuesday, May 2",CLE,@,NYY,L,2.0,4.0,9.0,14-16,2.0,3.0,Peralta,Karinchak,King,2.55,N,32521.0,.99,-1,,13.3,53.0,184.38233316,0.0,,11.2,0.07407407407407407
"Wednesday, May 3",CLE,@,NYY,L-wo,3.0,4.0,10.0,14-17,2.0,3.0,Abreu,Stephan,None,2.6833333333333336,N,36060.0,.93,-2,,11.1,61.0,194.38233316,0.0,,18.4,0.07407407407407407
"Friday, May 5",CLE,Home,MIN,L,0.0,2.0,9.0,14-18,3.0,4.5,Ober,Battenfield,Durán,2.183333333333333,N,17849.0,1.02,-3,,11.7,64.0,0.7452076999999804,0.0,,0.0,0.037037037037037035
"Saturday, May 6",CLE,Home,MIN,W,4.0,3.0,9.0,15-18,3.0,3.5,Stephan,Alcalá,Clase,2.3833333333333333,N,20795.0,.89,1,,13.9,51.0,70.74520769999998,0.0,,13.0,0.1111111111111111
"Sunday, May 7",CLE,Home,MIN,W,2.0,0.0,9.0,16-18,2.0,2.5,Quantrill,Ryan,Clase,2.15,D,17477.0,.99,2,,13.9,77.0,0.7452076999999804,0.0,,0.0,0.1111111111111111
"Monday, May 8",CLE,Home,DET,L,2.0,6.0,9.0,16-19,3.0,3.0,Wentz,Bibee,None,2.8833333333333333,N,12509.0,1.01,-1,,17.8,81.0,0.7452076999999804,0.0,,0.0,0.07407407407407407
"Tuesday, May 9",CLE,Home,DET,W,2.0,0.0,9.0,17-19,2.0,2.0,Bieber,Lorenzen,Clase,2.5,N,13096.0,.93,1,,12.8,77.0,0.7452076999999804,0.0,,0.0,0.1111111111111111
"Wednesday, May 10",CLE,Home,DET,L,0.0,5.0,9.0,17-20,3.0,3.0,Rodríguez,Battenfield,None,2.0166666666666666,D,16128.0,.98,-1,,11.7,66.0,30.74520769999998,0.0,,5.4,0.037037037037037035
