Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",HOU,Home,CHW,L,2.0,3.0,9.0,0-1,4.0,1.0,Graveman,Pressly,López,2.6333333333333333,N,43032.0,.92,-1,,17.0,68.0,136.82615859999999,0.0,,18.4,0.1111111111111111
"Friday, Mar 31",HOU,Home,CHW,W,6.0,3.0,9.0,1-1,3.0,0.5,Martinez,Graveman,Montero,2.6666666666666665,N,41453.0,.92,1,,23.0,89.0,176.82615859999999,0.0,,22.3,0.18518518518518517
"Saturday, Apr 1",HOU,Home,CHW,W,6.0,4.0,9.0,2-1,2.0,0.5,Stanek,Kelly,Neris,3.183333333333333,D,37519.0,.93,2,,23.0,94.0,176.82615859999999,0.0,,16.6,0.18518518518518517
"Sunday, Apr 2",HOU,Home,CHW,L,3.0,6.0,9.0,2-2,3.0,1.5,Clevinger,Garcia,None,3.1,D,42835.0,1.00,-1,,24.0,54.0,166.82615859999999,0.0,,13.0,0.1111111111111111
"Monday, Apr 3",HOU,Home,DET,L,6.0,7.0,11.0,2-3,3.0,1.5,Wingenter,Neris,Hill,3.35,N,29272.0,.93,-2,,24.0,83.0,186.82615859999999,0.0,,5.4,0.1111111111111111
"Tuesday, Apr 4",HOU,Home,DET,L,3.0,6.0,9.0,2-4,4.0,1.5,Manning,Valdez,None,2.533333333333333,N,30613.0,.87,-3,,24.0,89.0,176.82615859999999,0.0,,19.0,0.18518518518518517
"Wednesday, Apr 5",HOU,Home,DET,W,8.0,2.0,9.0,3-4,3.0,1.5,Javier,Rodríguez,None,2.5833333333333335,D,37932.0,.84,1,,25.0,84.0,176.82615859999999,0.0,,35.0,0.18518518518518517
"Friday, Apr 7",HOU,@,MIN,L-wo,2.0,3.0,10.0,3-5,3.0,1.5,López,Stanek,None,2.783333333333333,D,38465.0,.89,-1,2023-04-06 (Rain),-2.2,66.0,269.49605421,0.0,,0.0,0.037037037037037035
"Saturday, Apr 8",HOU,@,MIN,L,6.0,9.0,9.0,3-6,4.0,2.5,Ryan,Martinez,Durán,2.45,D,26330.0,.87,-2,,4.4,55.0,329.49605421,0.0,,16.6,0.037037037037037035
"Sunday, Apr 9",HOU,@,MIN,W,5.0,1.0,9.0,4-6,3.0,1.5,Brown,Mahle,None,2.55,D,14316.0,.80,1,,14.4,33.0,49.49605421,0.0,,16.6,0.037037037037037035
"Monday, Apr 10",HOU,@,PIT,W,8.0,2.0,9.0,5-6,3.0,1.5,Valdez,Contreras,None,2.65,N,10222.0,.82,2,,9.4,32.0,173.42357570000001,0.0,,7.6,0.037037037037037035
