Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",KCR,Home,MIN,L,0.0,2.0,9.0,0-1,3.0,1.0,López,Greinke,Durán,2.533333333333333,D,38351.0,1.00,-1,,12.2,40.0,33.28981806,0.0,,9.4,0.037037037037037035
"Saturday, Apr 1",KCR,Home,MIN,L,0.0,2.0,9.0,0-2,4.0,2.0,Gray,Lyles,López,2.3,D,16633.0,.96,-2,,15.6,26.0,193.28981806000002,0.0,,20.5,0.1111111111111111
"Sunday, Apr 2",KCR,Home,MIN,L,4.0,7.0,9.0,0-3,4.0,3.0,Ryan,Keller,None,2.5833333333333335,D,14589.0,.93,-3,,9.4,41.0,313.28981806,0.0,,0.0,0.037037037037037035
"Monday, Apr 3",KCR,Home,TOR,W,9.0,5.0,9.0,1-3,4.0,3.0,Singer,Berríos,None,2.6166666666666667,N,10810.0,.79,1,,22.2,41.0,83.28981806,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 4",KCR,Home,TOR,L,1.0,4.0,9.0,1-4,5.0,3.0,Kikuchi,Bubic,Romano,2.533333333333333,N,12123.0,.80,-1,,17.2,54.0,3.2898180600000018,0.0,,18.4,0.037037037037037035
"Wednesday, Apr 5",KCR,Home,TOR,L,0.0,3.0,9.0,1-5,5.0,3.5,Manoah,Greinke,Romano,2.283333333333333,N,10015.0,.77,-2,,25.0,62.0,133.28981806000002,0.0,,38.9,0.1111111111111111
"Thursday, Apr 6",KCR,Home,TOR,L,3.0,6.0,9.0,1-6,5.0,4.0,Gausman,Lyles,Cimber,2.5,D,10401.0,.74,-3,,7.8,37.0,253.28981806000002,0.0,,5.4,0.037037037037037035
"Friday, Apr 7",KCR,@,SFG,W,3.0,1.0,9.0,2-6,5.0,3.5,Keller,Cobb,Barlow,2.3833333333333333,D,40711.0,.66,1,,11.7,66.0,224.8480534,0.0,,9.4,0.14814814814814814
"Saturday, Apr 8",KCR,@,SFG,W,6.0,5.0,9.0,3-6,4.0,3.5,Clarke,Doval,Chapman,2.3833333333333333,D,35126.0,.69,2,,12.2,77.0,194.8480534,0.0,,16.6,0.1111111111111111
"Sunday, Apr 9",KCR,@,SFG,L,1.0,3.0,9.0,3-7,4.0,3.5,Brebbia,Yarbrough,Rogers,2.25,D,30207.0,.75,-1,,12.8,66.0,224.8480534,0.0,,11.2,0.07407407407407407
"Monday, Apr 10",KCR,@,TEX,L,2.0,11.0,9.0,3-8,4.0,4.0,Heaney,Greinke,None,2.5,N,17430.0,.78,-2,,19.4,66.0,327.19716629,0.0,,0.0,0.1111111111111111
