Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",LAA,@,OAK,L,1.0,2.0,9.0,0-1,4.0,1.0,May,Loup,Jiménez,2.5,N,26805.0,1.02,-1,,10.0,71.0,145.48883674,0.0,,14.8,0.25925925925925924
"Saturday, Apr 1",LAA,@,OAK,W,13.0,1.0,9.0,1-1,3.0,1.0,Sandoval,Fujinami,Davidson,2.4,D,15757.0,.93,1,,11.7,61.0,225.48883674,0.0,,14.8,0.07407407407407407
"Sunday, Apr 2",LAA,@,OAK,W,6.0,0.0,9.0,2-1,2.0,1.0,Anderson,Waldichuk,None,2.533333333333333,D,14638.0,.98,2,,12.8,72.0,215.48883674,0.0,,24.1,0.07407407407407407
"Monday, Apr 3",LAA,@,SEA,W,7.0,3.0,9.0,3-1,1.0,Tied,Tepera,Kirby,None,2.8166666666666664,N,18877.0,1.07,3,,5.0,79.0,270.69115924,0.0,,20.5,0.3333333333333333
"Tuesday, Apr 4",LAA,@,SEA,L,2.0,11.0,9.0,3-2,1.0,Tied,Castillo,Suarez,None,2.5166666666666666,N,19255.0,1.04,-1,,7.2,58.0,310.69115924,0.0,,0.0,0.6666666666666666
"Wednesday, Apr 5",LAA,@,SEA,W,4.0,3.0,9.0,4-2,1.0,Tied,Ohtani,Flexen,Quijada,2.9166666666666665,D,25648.0,1.07,1,,8.9,35.0,310.69115924,0.0,,0.0,0.037037037037037035
"Friday, Apr 7",LAA,Home,TOR,L,3.0,4.0,9.0,4-3,1.0,Tied,Bassitt,Herget,Romano,2.55,N,44735.0,1.04,-1,,19.4,21.0,225.82863453,0.0,,7.6,0.037037037037037035
"Saturday, Apr 8",LAA,Home,TOR,W,9.0,5.0,9.0,5-3,1.0,up 1.0,Barria,Berríos,None,2.6666666666666665,N,44534.0,1.03,1,,18.3,43.0,235.82863453,0.0,,5.4,0.037037037037037035
"Sunday, Apr 9",LAA,Home,TOR,L,11.0,12.0,10.0,5-4,1.0,Tied,Romano,Estévez,Mayza,3.5166666666666666,D,31092.0,1.06,-1,,16.7,72.0,205.82863453,0.0,,5.4,0.1111111111111111
"Monday, Apr 10",LAA,Home,WSN,L,4.0,6.0,9.0,5-5,2.0,1.0,Corbin,Davidson,Finnegan,2.6666666666666665,N,19557.0,.96,-2,,18.3,63.0,115.82863453,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 11",LAA,Home,WSN,W,2.0,0.0,9.0,6-5,2.0,1.0,Ohtani,Gray,Estévez,2.4333333333333336,N,27390.0,.94,1,,15.0,81.0,135.82863453,0.0,,9.4,0.037037037037037035
"Wednesday, Apr 12",LAA,Home,WSN,W,3.0,2.0,9.0,7-5,1.0,Tied,Moore,Thompson,Quijada,2.3666666666666667,D,17780.0,1.00,2,,16.7,75.0,135.82863453,0.0,,7.6,0.1111111111111111
"Friday, Apr 14",LAA,@,BOS,L,3.0,5.0,9.0,7-6,2.0,1.0,Winckowski,Herget,Jansen,2.95,N,36680.0,1.05,-1,,23.9,37.0,185.82575904,0.0,,16.6,0.07407407407407407
"Saturday, Apr 15",LAA,@,BOS,L,7.0,9.0,9.0,7-7,2.0,1.0,Brasier,Tepera,Jansen,2.9833333333333334,D,36594.0,.98,-2,,10.0,86.0,5.825759040000001,0.0,,14.8,0.1111111111111111
"Sunday, Apr 16",LAA,@,BOS,L,1.0,2.0,9.0,7-8,3.0,2.0,Whitlock,Detmers,Brasier,1.95,D,34790.0,.96,-3,,10.0,93.0,25.82575904,0.0,,13.0,0.14814814814814814
"Monday, Apr 17",LAA,@,BOS,W,5.0,4.0,9.0,8-8,2.0,2.0,Davidson,Bello,Estévez,3.05,D,34942.0,.96,1,,8.9,100.0,25.82575904,0.0,,11.2,0.18518518518518517
"Tuesday, Apr 18",LAA,@,NYY,W,5.0,2.0,9.0,9-8,2.0,2.0,Wantz,Schmidt,Quijada,2.75,N,37883.0,.99,2,,15.0,44.0,170.38233316,0.0,,25.2,0.1111111111111111
"Wednesday, Apr 19",LAA,@,NYY,L-wo,2.0,3.0,10.0,9-9,2.0,3.0,Hamilton,Moore,None,3.3333333333333335,N,38131.0,1.06,-1,,8.7,49.0,217.38233316,0.0,,22.0,0.037037037037037035
"Thursday, Apr 20",LAA,@,NYY,L,3.0,9.0,9.0,9-10,2.0,3.5,Cortés,Sandoval,None,2.8166666666666664,D,39315.0,.99,-2,,10.7,63.0,232.38233316,0.0,,11.2,0.037037037037037035
"Friday, Apr 21",LAA,Home,KCR,W,2.0,0.0,9.0,10-10,2.0,2.5,Ohtani,Yarbrough,Quijada,2.05,N,44741.0,.96,1,,21.7,27.0,215.82863453,0.0,,5.4,0.1111111111111111
"Saturday, Apr 22",LAA,Home,KCR,L,8.0,11.0,9.0,10-11,3.0,3.5,Cuas,Quijada,Barlow,2.6666666666666665,N,44148.0,.96,-1,,26.7,21.0,205.82863453,0.0,,13.0,0.037037037037037035
"Sunday, Apr 23",LAA,Home,KCR,W,4.0,3.0,9.0,11-11,3.0,3.5,Warren,Lyles,Estévez,2.183333333333333,D,36016.0,.92,1,,25.0,32.0,225.82863453,0.0,,11.2,0.1111111111111111
"Monday, Apr 24",LAA,Home,OAK,L,10.0,11.0,10.0,11-12,3.0,3.5,Oller,Barria,Familia,3.4166666666666665,N,23814.0,.98,-1,,15.6,83.0,105.82863453,0.0,,5.4,0.037037037037037035
"Tuesday, Apr 25",LAA,Home,OAK,W,5.0,3.0,9.0,12-12,3.0,2.5,Canning,Miller,Estévez,2.783333333333333,N,26971.0,.94,1,,16.1,81.0,135.82863453,0.0,,11.2,0.037037037037037035
"Wednesday, Apr 26",LAA,Home,OAK,W,11.0,3.0,9.0,13-12,3.0,1.5,Sandoval,Medina,None,2.5,N,24524.0,.95,2,,17.8,68.0,125.82863453,0.0,,13.0,0.07407407407407407
"Thursday, Apr 27",LAA,Home,OAK,W,8.0,7.0,9.0,14-12,3.0,0.5,Ohtani,Sears,Estévez,3.05,D,21741.0,1.00,3,,17.8,73.0,195.82863453,0.0,,5.4,0.037037037037037035
"Friday, Apr 28",LAA,@,MIL,L,1.0,2.0,9.0,14-13,3.0,1.5,Strzelecki,Loup,Williams,2.2333333333333334,N,24787.0,1.01,-1,,8.9,54.0,11.146295299999991,0.0,,7.6,0.07407407407407407
"Saturday, Apr 29",LAA,@,MIL,L,5.0,7.0,9.0,14-14,3.0,2.5,Burnes,Detmers,Williams,2.716666666666667,N,39198.0,.97,-2,,8.9,50.0,231.1462953,0.0,,0.0,0.1111111111111111
"Sunday, Apr 30",LAA,@,MIL,W,3.0,0.0,9.0,15-14,3.0,2.5,Suarez,Rea,Estévez,2.5,D,33557.0,.99,1,,7.2,65.0,141.1462953,0.0,,18.4,0.14814814814814814
"Tuesday, May 2",LAA,@,STL,W,5.0,1.0,9.0,16-14,2.0,2.5,Sandoval,Matz,None,2.6166666666666667,N,37048.0,.98,2,,13.3,30.0,207.30370856,0.0,,11.2,0.037037037037037035
"Wednesday, May 3",LAA,@,STL,W,6.0,4.0,9.0,17-14,2.0,1.5,Tepera,Gallegos,Estévez,2.7,N,42148.0,1.05,3,,12.2,31.0,217.30370856,0.0,,9.4,0.037037037037037035
"Thursday, May 4",LAA,@,STL,W,11.0,7.0,9.0,18-14,2.0,1.0,Canning,Flaherty,None,2.966666666666667,D,40508.0,1.09,4,,11.1,46.0,297.30370856,0.0,,0.0,0.037037037037037035
"Friday, May 5",LAA,Home,TEX,W-wo,5.0,4.0,10.0,19-14,1.0,Tied,Estévez,Smith,None,2.9166666666666665,N,39073.0,1.32,5,,15.6,67.0,145.82863453,0.0,,13.0,0.1111111111111111
"Saturday, May 6",LAA,Home,TEX,L,1.0,10.0,9.0,19-15,2.0,1.0,Eovaldi,Detmers,None,2.8,N,37409.0,1.38,-1,,17.2,52.0,155.82863453,0.0,,18.4,0.037037037037037035
"Sunday, May 7",LAA,Home,TEX,L,8.0,16.0,9.0,19-16,2.0,2.0,Sborz,Suarez,None,3.1,D,41641.0,1.34,-2,,15.6,64.0,205.82863453,0.0,,7.6,0.07407407407407407
"Monday, May 8",LAA,Home,HOU,W,6.0,4.0,9.0,20-16,2.0,2.0,Moore,Montero,Estévez,2.4833333333333334,N,26064.0,1.20,1,,17.2,58.0,225.82863453,0.0,,7.6,0.037037037037037035
"Tuesday, May 9",LAA,Home,HOU,L,1.0,3.0,9.0,20-17,2.0,2.0,Valdez,Ohtani,Pressly,2.2666666666666666,N,29018.0,1.23,-1,,17.8,63.0,145.82863453,0.0,,7.6,0.037037037037037035
"Wednesday, May 10",LAA,Home,HOU,L,4.0,5.0,9.0,20-18,2.0,3.0,Javier,Canning,Pressly,2.6333333333333333,D,20420.0,1.21,-2,,16.1,60.0,235.82863453,0.0,,13.0,0.1111111111111111
"Friday, May 12",LAA,@,CLE,W,5.0,4.0,9.0,21-18,2.0,2.5,Moore,Clase,Estévez,2.8833333333333333,N,22550.0,1.03,1,,20.6,39.0,120.74520769999998,0.0,,5.4,0.07407407407407407
"Saturday, May 13",LAA,@,CLE,L,6.0,8.0,9.0,21-19,2.0,3.5,Morgan,Tepera,Stephan,2.9166666666666665,N,27644.0,1.07,-1,,17.2,67.0,40.74520769999998,0.0,,5.4,0.25925925925925924
"Sunday, May 14",LAA,@,CLE,L,3.0,4.0,9.0,21-20,3.0,4.5,Karinchak,Sandoval,Clase,2.216666666666667,D,23175.0,1.04,-2,,15.6,75.0,60.74520769999998,0.0,,7.6,0.1111111111111111
"Monday, May 15",LAA,@,BAL,W,9.0,5.0,9.0,22-20,3.0,3.5,Ohtani,Rodriguez,None,2.85,N,20148.0,.97,1,,21.1,29.0,343.66021453999997,0.0,,21.2,0.07407407407407407
"Tuesday, May 16",LAA,@,BAL,L,3.0,7.0,9.0,22-21,3.0,4.5,Kremer,Silseth,None,2.5833333333333335,N,13244.0,1.06,-1,,19.4,47.0,191.66021454,0.0,,17.3,0.037037037037037035
"Wednesday, May 17",LAA,@,BAL,L,1.0,3.0,9.0,22-22,3.0,4.5,Bradish,Canning,Bautista,2.5,N,15702.0,.96,-2,,21.1,59.0,232.66021454,0.0,,20.5,0.1111111111111111
"Thursday, May 18",LAA,@,BAL,W,6.0,5.0,9.0,23-22,3.0,4.0,Devenski,Baker,Estévez,3.0833333333333335,D,27778.0,.95,1,,14.4,28.0,5.660214539999998,0.0,,24.1,0.037037037037037035
"Friday, May 19",LAA,Home,MIN,W,5.0,4.0,9.0,24-22,3.0,4.0,Weiss,Jax,Estévez,2.6666666666666665,N,31079.0,1.04,2,,16.7,84.0,165.82863453,0.0,,9.4,0.037037037037037035
"Saturday, May 20",LAA,Home,MIN,L,2.0,6.0,9.0,24-23,3.0,5.0,Varland,Sandoval,None,2.9,N,35688.0,1.04,-1,,18.3,78.0,165.82863453,0.0,,9.4,0.1111111111111111
"Sunday, May 21",LAA,Home,MIN,W,4.0,2.0,9.0,25-23,3.0,5.0,Devenski,López,Estévez,2.6833333333333336,D,42138.0,.94,1,,18.3,78.0,155.82863453,0.0,,16.6,0.1111111111111111
"Monday, May 22",LAA,Home,BOS,W,2.0,1.0,9.0,26-23,3.0,4.0,Silseth,Crawford,None,2.0833333333333335,N,25314.0,.99,2,,18.9,75.0,155.82863453,0.0,,14.8,0.037037037037037035
"Tuesday, May 23",LAA,Home,BOS,W,4.0,0.0,9.0,27-23,3.0,4.0,Canning,Bello,None,2.216666666666667,N,25798.0,1.05,3,,18.3,76.0,155.82863453,0.0,,11.2,0.037037037037037035
"Wednesday, May 24",LAA,Home,BOS,W,7.0,3.0,9.0,28-23,3.0,4.0,Anderson,Paxton,None,2.55,N,26596.0,1.09,4,,17.2,84.0,125.82863453,0.0,,11.2,0.037037037037037035
"Friday, May 26",LAA,Home,MIA,L,2.0,6.0,9.0,28-24,3.0,5.0,Luzardo,Detmers,None,2.7,N,32130.0,1.11,-1,,17.8,63.0,235.82863453,0.0,,7.6,0.07407407407407407
"Saturday, May 27",LAA,Home,MIA,L,5.0,8.0,10.0,28-25,3.0,6.0,Floro,Barria,None,3.55,N,38131.0,.99,-2,,16.7,65.0,225.82863453,0.0,,7.6,0.1111111111111111
"Sunday, May 28",LAA,Home,MIA,L,0.0,2.0,9.0,28-26,4.0,6.0,Pérez,Sandoval,Chargois,2.8,D,36345.0,.91,-3,,18.3,65.0,225.82863453,0.0,,11.2,0.037037037037037035
