Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",LAD,Home,ARI,W,8.0,2.0,9.0,1-0,1.0,Tied,Urías,Gallen,None,2.5833333333333335,N,52075.0,.99,1,,12.2,66.0,223.5154598,0.0,,5.4,0.037037037037037035
"Friday, Mar 31",LAD,Home,ARI,L,1.0,2.0,9.0,1-1,2.0,1.0,Jameson,Vesia,Chafin,2.6833333333333336,N,45389.0,1.04,-1,,11.7,66.0,213.5154598,0.0,,5.4,0.037037037037037035
"Saturday, Apr 1",LAD,Home,ARI,W,10.0,1.0,9.0,2-1,1.0,Tied,Kershaw,Bumgarner,Jackson,2.2333333333333334,N,48886.0,.99,1,,13.0,77.0,244.5154598,0.0,,16.9,0.1111111111111111
"Sunday, Apr 2",LAD,Home,ARI,L,1.0,2.0,9.0,2-2,1.0,Tied,Chafin,Graterol,McGough,2.533333333333333,D,46549.0,1.05,-1,,15.0,67.0,214.5154598,0.0,,19.8,0.037037037037037035
"Monday, Apr 3",LAD,Home,COL,W,13.0,4.0,9.0,3-2,1.0,Tied,Almonte,Feltner,None,2.783333333333333,N,49792.0,1.00,1,,14.0,75.0,217.5154598,0.0,,18.7,0.037037037037037035
"Tuesday, Apr 4",LAD,Home,COL,W,5.0,2.0,9.0,4-2,1.0,up 1.0,Urías,Márquez,Phillips,2.4166666666666665,N,52290.0,1.05,2,,13.9,19.0,303.5154598,0.0,,18.4,0.037037037037037035
"Thursday, Apr 6",LAD,@,ARI,W,5.0,2.0,9.0,5-2,1.0,up 1.5,May,Kelly,Phillips,2.716666666666667,N,48034.0,1.09,3,,17.8,11.0,250.25083210000003,0.0,,13.0,0.07407407407407407
"Friday, Apr 7",LAD,@,ARI,L,3.0,6.0,9.0,5-3,1.0,up 1.0,Jameson,Kershaw,None,2.466666666666667,N,30249.0,1.18,-1,,22.2,13.0,270.2508321,0.0,,13.0,0.1111111111111111
"Saturday, Apr 8",LAD,@,ARI,L,8.0,12.0,9.0,5-4,1.0,Tied,Nelson,Syndergaard,None,2.716666666666667,N,26881.0,1.11,-2,,25.6,10.0,290.2508321,0.0,,14.8,0.07407407407407407
"Sunday, Apr 9",LAD,@,ARI,L,6.0,11.0,9.0,5-5,3.0,1.0,Nelson,Grove,None,2.75,D,18543.0,1.10,-3,,27.2,8.0,300.2508321,0.0,,14.8,0.07407407407407407
"Monday, Apr 10",LAD,@,SFG,W,9.0,1.0,9.0,6-5,2.0,1.0,Urías,Webb,None,2.5166666666666666,N,35232.0,1.05,1,,15.6,62.0,214.8480534,0.0,,9.4,0.07407407407407407
"Tuesday, Apr 11",LAD,@,SFG,L,0.0,5.0,9.0,6-6,3.0,1.0,Alexander,May,None,2.6333333333333333,N,30768.0,1.05,-1,,13.3,84.0,194.8480534,0.0,,18.4,0.07407407407407407
