Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",MIA,Home,NYM,L,3.0,5.0,9.0,0-1,3.0,1.0,Scherzer,Scott,Robertson,2.7,D,31397.0,.96,-1,,23.3,91.0,351.8678115,0.3,,11.2,0.25925925925925924
"Friday, Mar 31",MIA,Home,NYM,W,2.0,1.0,9.0,1-1,2.0,0.5,Luzardo,Peterson,Puk,2.15,N,14797.0,.97,1,,22.8,90.0,321.8678115,1.8,,11.2,0.07407407407407407
"Saturday, Apr 1",MIA,Home,NYM,L,2.0,6.0,9.0,1-2,3.0,1.5,Megill,Nardi,None,2.9,D,14695.0,.99,-1,,25.0,62.0,341.8678115,0.0,,18.4,0.1111111111111111
"Sunday, Apr 2",MIA,Home,NYM,L,1.0,5.0,9.0,1-3,4.0,2.0,Senga,Rogers,None,2.6666666666666665,D,18322.0,.99,-2,,23.9,100.0,111.86781149999999,0.0,,5.4,0.07407407407407407
"Monday, Apr 3",MIA,Home,MIN,L,1.0,11.0,9.0,1-4,4.0,2.5,Mahle,Cueto,None,2.5166666666666666,N,8898.0,.82,-3,,26.1,77.0,61.86781149999999,0.0,,13.0,0.07407407407407407
"Tuesday, Apr 4",MIA,Home,MIN,W,1.0,0.0,9.0,2-4,3.0,2.5,Alcántara,Maeda,None,1.95,N,10668.0,.75,1,,26.1,79.0,11.867811499999988,0.0,,9.4,0.07407407407407407
"Wednesday, Apr 5",MIA,Home,MIN,W,5.0,2.0,9.0,3-4,2.0,2.5,Floro,Jax,None,2.1666666666666665,D,8981.0,.78,2,,26.1,74.0,321.8678115,0.0,,24.1,0.07407407407407407
"Friday, Apr 7",MIA,@,NYM,L,3.0,9.0,9.0,3-5,3.0,3.0,Megill,Cabrera,None,3.0166666666666666,D,43590.0,.96,-1,2023-04-06 (Rain),15.6,55.0,311.00885818,0.8,,9.4,0.2962962962962963
"Saturday, Apr 8",MIA,@,NYM,L,2.0,5.0,9.0,3-6,4.0,3.0,Senga,Rogers,Robertson,2.65,D,42306.0,.95,-2,,7.8,34.0,346.00885818,0.0,,5.4,0.1111111111111111
"Sunday, Apr 9",MIA,@,NYM,W,7.0,2.0,9.0,4-6,3.0,2.0,Scott,Carrasco,None,2.8666666666666667,D,33697.0,.88,1,,6.1,64.0,196.00885818,0.0,,13.7,0.1111111111111111
