Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",MIL,@,CHC,L,0.0,4.0,9.0,0-1,3.0,1.0,Stroman,Burnes,None,2.35,D,36054.0,1.00,-1,,0.0,54.0,62.38427116,0.0,,11.2,0.037037037037037035
"Saturday, Apr 1",MIL,@,CHC,W,3.0,1.0,9.0,1-1,1.0,Tied,Strzelecki,Assad,Williams,2.533333333333333,D,31363.0,.98,1,,13.3,69.0,212.38427116,1.0,,16.6,0.3333333333333333
"Sunday, Apr 2",MIL,@,CHC,W,9.0,5.0,9.0,2-1,1.0,Tied,Lauer,Taillon,None,2.95,D,33266.0,1.01,2,,2.8,64.0,322.38427116,0.0,,5.4,0.037037037037037035
"Monday, Apr 3",MIL,Home,NYM,W,10.0,0.0,9.0,3-1,1.0,Tied,Peralta,Carrasco,Wilson,2.6166666666666667,D,42017.0,.99,3,,8.3,65.0,51.14629529999999,0.0,,18.4,0.1111111111111111
"Tuesday, Apr 4",MIL,Home,NYM,W,9.0,0.0,9.0,4-1,1.0,up 1.0,Miley,Scherzer,None,2.283333333333333,N,19412.0,1.05,4,,7.2,86.0,251.1462953,0.5,,5.4,0.14814814814814814
"Wednesday, Apr 5",MIL,Home,NYM,W-wo,7.0,6.0,9.0,5-1,1.0,up 1.0,Williams,Ottavino,None,2.75,D,18387.0,1.10,5,,8.9,89.0,351.1462953,0.0,,37.1,0.2962962962962963
"Friday, Apr 7",MIL,Home,STL,W,4.0,0.0,9.0,6-1,1.0,up 1.0,Woodruff,Flaherty,None,2.75,N,28459.0,1.16,6,,6.7,31.0,141.1462953,0.0,,9.4,0.07407407407407407
"Saturday, Apr 8",MIL,Home,STL,L,0.0,6.0,9.0,6-2,1.0,up 1.0,Montgomery,Lauer,None,2.533333333333333,N,43077.0,1.16,-1,,1.1,64.0,301.1462953,0.0,,9.4,0.1111111111111111
"Sunday, Apr 9",MIL,Home,STL,W,6.0,1.0,9.0,7-2,1.0,up 1.0,Peralta,Woodford,None,2.8166666666666664,D,27701.0,1.19,1,,8.9,46.0,31.14629529999999,0.0,,11.2,0.07407407407407407
"Monday, Apr 10",MIL,@,ARI,L,0.0,3.0,9.0,7-3,1.0,up 1.0,Gallen,Miley,Chafin,2.2,N,12681.0,1.16,-1,,27.2,14.0,230.25083210000003,0.0,,7.6,0.07407407407407407
"Tuesday, Apr 11",MIL,@,ARI,W,7.0,1.0,9.0,8-3,1.0,up 1.0,Burnes,Kelly,None,2.3166666666666664,N,17069.0,1.13,1,,35.0,6.0,0.2508321000000251,0.0,,0.0,0.07407407407407407
"Wednesday, Apr 12",MIL,@,ARI,L,3.0,7.0,9.0,8-4,1.0,up 1.0,Nelson,Junk,None,2.6666666666666665,D,13136.0,1.12,-1,,34.4,9.0,280.2508321,0.0,,20.5,0.07407407407407407
