Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",MIN,@,KCR,W,2.0,0.0,9.0,1-0,1.0,Tied,López,Greinke,Durán,2.533333333333333,D,38351.0,1.01,1,,12.2,40.0,33.28981806,0.0,,9.4,0.037037037037037035
"Saturday, Apr 1",MIN,@,KCR,W,2.0,0.0,9.0,2-0,1.0,up 0.5,Gray,Lyles,López,2.3,D,16633.0,1.06,2,,15.6,26.0,193.28981806000002,0.0,,20.5,0.1111111111111111
"Sunday, Apr 2",MIN,@,KCR,W,7.0,4.0,9.0,3-0,1.0,up 0.5,Ryan,Keller,None,2.5833333333333335,D,14589.0,1.07,3,,9.4,41.0,313.28981806,0.0,,0.0,0.037037037037037035
"Monday, Apr 3",MIN,@,MIA,W,11.0,1.0,9.0,4-0,1.0,up 0.5,Mahle,Cueto,None,2.5166666666666666,N,8898.0,.99,4,,26.1,77.0,61.86781149999999,0.0,,13.0,0.07407407407407407
"Tuesday, Apr 4",MIN,@,MIA,L,0.0,1.0,9.0,4-1,1.0,up 0.5,Alcántara,Maeda,None,1.95,N,10668.0,1.07,-1,,26.1,79.0,11.867811499999988,0.0,,9.4,0.07407407407407407
"Wednesday, Apr 5",MIN,@,MIA,L,2.0,5.0,9.0,4-2,2.0,0.5,Floro,Jax,None,2.1666666666666665,D,8981.0,1.02,-2,,26.1,74.0,321.8678115,0.0,,24.1,0.07407407407407407
"Friday, Apr 7",MIN,Home,HOU,W-wo,3.0,2.0,10.0,5-2,1.0,up 0.5,López,Stanek,None,2.783333333333333,D,38465.0,1.07,1,2023-04-06 (Rain),-2.2,66.0,269.49605421,0.0,,0.0,0.037037037037037035
"Saturday, Apr 8",MIN,Home,HOU,W,9.0,6.0,9.0,6-2,1.0,up 1.5,Ryan,Martinez,Durán,2.45,D,26330.0,1.09,2,,4.4,55.0,329.49605421,0.0,,16.6,0.037037037037037035
"Sunday, Apr 9",MIN,Home,HOU,L,1.0,5.0,9.0,6-3,1.0,up 0.5,Brown,Mahle,None,2.55,D,14316.0,1.13,-1,,14.4,33.0,49.49605421,0.0,,16.6,0.037037037037037035
"Monday, Apr 10",MIN,Home,CHW,L,3.0,4.0,9.0,6-4,2.0,0.5,Cease,Maeda,López,2.65,D,12078.0,1.14,-2,,11.7,61.0,269.49605421,0.0,,0.0,0.1111111111111111
"Tuesday, Apr 11",MIN,Home,CHW,W-wo,4.0,3.0,10.0,7-4,1.0,up 0.5,Jax,Scholtens,None,2.3833333333333333,N,16153.0,1.15,1,,14.4,39.0,269.49605421,0.0,,0.0,0.1111111111111111
"Wednesday, Apr 12",MIN,Home,CHW,W,3.0,1.0,9.0,8-4,1.0,up 1.5,Gray,Giolito,Durán,2.6166666666666667,D,17658.0,1.18,2,,22.8,29.0,89.49605421,0.0,,14.8,0.037037037037037035
"Thursday, Apr 13",MIN,@,NYY,W,11.0,2.0,9.0,9-4,1.0,up 2.0,Ryan,Brito,None,2.3333333333333335,N,39024.0,1.11,3,,18.9,47.0,204.38233316,0.0,,22.3,0.037037037037037035
"Friday, Apr 14",MIN,@,NYY,W,4.0,3.0,9.0,10-4,1.0,up 2.0,Pagán,Holmes,Durán,2.183333333333333,N,41039.0,1.17,4,,22.8,37.0,124.38233316,0.0,,7.6,0.037037037037037035
"Saturday, Apr 15",MIN,@,NYY,L,1.0,6.0,9.0,10-5,1.0,up 1.0,Germán,Mahle,None,2.45,D,38363.0,1.16,-1,,19.9,52.0,131.38233316,0.0,,26.6,0.1111111111111111
"Sunday, Apr 16",MIN,@,NYY,L,0.0,2.0,9.0,10-6,1.0,up 1.0,Cole,López,None,2.1166666666666667,D,39342.0,1.17,-2,,15.6,100.0,324.38233316000003,0.0,,7.6,0.18518518518518517
"Tuesday, Apr 18",MIN,@,BOS,L-wo,4.0,5.0,10.0,10-7,1.0,up 1.5,Schreiber,Morán,None,3.1166666666666667,N,28132.0,1.13,-3,,11.1,93.0,235.82575904,0.0,,9.4,0.1111111111111111
"Wednesday, Apr 19",MIN,@,BOS,W,10.0,4.0,9.0,11-7,1.0,up 1.5,Ryan,Kluber,Headrick,2.6166666666666667,N,30027.0,1.14,1,,11.1,46.0,235.82575904,0.0,,22.3,0.07407407407407407
"Thursday, Apr 20",MIN,@,BOS,L,5.0,11.0,9.0,11-8,1.0,up 1.0,Houck,Maeda,None,2.6666666666666665,D,34427.0,1.13,-1,,8.3,49.0,225.82575904,0.0,,20.5,0.07407407407407407
