Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",NYM,@,MIA,W,5.0,3.0,9.0,1-0,1.0,Tied,Scherzer,Scott,Robertson,2.7,D,31397.0,.97,1,,23.3,91.0,351.8678115,0.3,,11.2,0.25925925925925924
"Friday, Mar 31",NYM,@,MIA,L,1.0,2.0,9.0,1-1,2.0,0.5,Luzardo,Peterson,Puk,2.15,N,14797.0,1.07,-1,,22.8,90.0,321.8678115,1.8,,11.2,0.07407407407407407
"Saturday, Apr 1",NYM,@,MIA,W,6.0,2.0,9.0,2-1,2.0,0.5,Megill,Nardi,None,2.9,D,14695.0,1.01,1,,25.0,62.0,341.8678115,0.0,,18.4,0.1111111111111111
"Sunday, Apr 2",NYM,@,MIA,W,5.0,1.0,9.0,3-1,1.0,up 0.5,Senga,Rogers,None,2.6666666666666665,D,18322.0,1.08,2,,23.9,100.0,111.86781149999999,0.0,,5.4,0.07407407407407407
"Monday, Apr 3",NYM,@,MIL,L,0.0,10.0,9.0,3-2,2.0,0.5,Peralta,Carrasco,Wilson,2.6166666666666667,D,42017.0,1.09,-1,,8.3,65.0,51.14629529999999,0.0,,18.4,0.1111111111111111
"Tuesday, Apr 4",NYM,@,MIL,L,0.0,9.0,9.0,3-3,2.0,1.5,Miley,Scherzer,None,2.283333333333333,N,19412.0,1.00,-2,,7.2,86.0,251.1462953,0.5,,5.4,0.14814814814814814
"Wednesday, Apr 5",NYM,@,MIL,L-wo,6.0,7.0,9.0,3-4,2.0,2.5,Williams,Ottavino,None,2.75,D,18387.0,.97,-3,,8.9,89.0,351.1462953,0.0,,37.1,0.2962962962962963
"Friday, Apr 7",NYM,Home,MIA,W,9.0,3.0,9.0,4-4,2.0,2.0,Megill,Cabrera,None,3.0166666666666666,D,43590.0,1.01,1,2023-04-06 (Rain),15.6,55.0,311.00885818,0.8,,9.4,0.2962962962962963
"Saturday, Apr 8",NYM,Home,MIA,W,5.0,2.0,9.0,5-4,2.0,1.0,Senga,Rogers,Robertson,2.65,D,42306.0,1.02,2,,7.8,34.0,346.00885818,0.0,,5.4,0.1111111111111111
"Sunday, Apr 9",NYM,Home,MIA,L,2.0,7.0,9.0,5-5,2.0,1.0,Scott,Carrasco,None,2.8666666666666667,D,33697.0,1.07,-1,,6.1,64.0,196.00885818,0.0,,13.7,0.1111111111111111
