Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",NYY,Home,SFG,W,5.0,0.0,9.0,1-0,1.0,Tied,Cole,Webb,None,2.55,D,46172.0,.93,1,,6.7,65.0,164.38233316,0.0,,13.0,0.1111111111111111
"Saturday, Apr 1",NYY,Home,SFG,L,5.0,7.0,9.0,1-1,2.0,1.0,Junis,King,Doval,3.2,D,41642.0,.92,-1,,12.8,72.0,284.38233316000003,0.0,,0.0,0.1111111111111111
"Sunday, Apr 2",NYY,Home,SFG,W,6.0,0.0,9.0,2-1,2.0,1.0,Brito,Stripling,None,2.45,D,42053.0,.89,1,,12.2,72.0,194.38233316,0.0,,18.4,0.1111111111111111
"Monday, Apr 3",NYY,Home,PHI,W,8.0,1.0,9.0,3-1,2.0,1.0,Cortés,Walker,None,2.6833333333333336,N,37202.0,.91,2,,6.7,28.0,284.38233316000003,0.0,,0.0,0.037037037037037035
"Tuesday, Apr 4",NYY,Home,PHI,L,1.0,4.0,9.0,3-2,2.0,2.0,Bellatti,Germán,None,2.75,N,35392.0,.92,-1,,10.6,68.0,184.38233316,0.0,,11.2,0.07407407407407407
"Wednesday, Apr 5",NYY,Home,PHI,W,4.0,2.0,9.0,4-2,2.0,2.0,Cole,Nola,Holmes,2.5,D,35847.0,.89,1,,17.2,78.0,284.38233316000003,0.0,,0.0,0.1111111111111111
"Friday, Apr 7",NYY,@,BAL,L,6.0,7.0,9.0,4-3,3.0,3.0,Pérez,Marinaccio,Bautista,3.066666666666667,D,45017.0,1.05,-1,2023-04-06 (Rain),18.3,48.0,297.66021453999997,0.0,,19.1,0.1111111111111111
"Saturday, Apr 8",NYY,@,BAL,W,4.0,1.0,9.0,5-3,2.0,3.0,Brito,Irvin,Holmes,2.783333333333333,N,30561.0,1.02,1,,12.2,28.0,267.66021453999997,0.0,,9.7,0.1111111111111111
"Sunday, Apr 9",NYY,@,BAL,W,5.0,3.0,9.0,6-3,2.0,3.0,Cortés,Wells,Holmes,2.466666666666667,D,29221.0,1.05,2,,9.4,48.0,291.66021453999997,0.0,,8.6,0.1111111111111111
"Monday, Apr 10",NYY,@,CLE,L,2.0,3.0,9.0,6-4,2.0,4.0,Bieber,Hamilton,Clase,2.4833333333333334,N,19278.0,1.01,-1,,7.8,53.0,70.74520769999998,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 11",NYY,@,CLE,W,11.0,2.0,9.0,7-4,2.0,4.0,Cole,Gaddis,None,2.4,N,20164.0,1.00,1,,12.2,37.0,160.74520769999998,0.0,,7.6,0.1111111111111111
"Wednesday, Apr 12",NYY,@,CLE,W,4.0,3.0,9.0,8-4,2.0,4.0,Peralta,Clase,Holmes,2.7333333333333334,D,23164.0,1.02,2,,18.9,34.0,220.74520769999998,0.0,,20.5,0.1111111111111111
"Thursday, Apr 13",NYY,Home,MIN,L,2.0,11.0,9.0,8-5,2.0,5.0,Ryan,Brito,None,2.3333333333333335,N,39024.0,1.06,-1,,18.9,47.0,204.38233316,0.0,,22.3,0.037037037037037035
"Friday, Apr 14",NYY,Home,MIN,L,3.0,4.0,9.0,8-6,3.0,5.0,Pagán,Holmes,Durán,2.183333333333333,N,41039.0,1.03,-2,,22.8,37.0,124.38233316,0.0,,7.6,0.037037037037037035
"Saturday, Apr 15",NYY,Home,MIN,W,6.0,1.0,9.0,9-6,3.0,4.0,Germán,Mahle,None,2.45,D,38363.0,1.00,1,,19.9,52.0,131.38233316,0.0,,26.6,0.1111111111111111
"Sunday, Apr 16",NYY,Home,MIN,W,2.0,0.0,9.0,10-6,2.0,4.0,Cole,López,None,2.1166666666666667,D,39342.0,1.01,2,,15.6,100.0,324.38233316000003,0.0,,7.6,0.18518518518518517
"Tuesday, Apr 18",NYY,Home,LAA,L,2.0,5.0,9.0,10-7,3.0,4.5,Wantz,Schmidt,Quijada,2.75,N,37883.0,1.10,-1,,15.0,44.0,170.38233316,0.0,,25.2,0.1111111111111111
"Wednesday, Apr 19",NYY,Home,LAA,W-wo,3.0,2.0,10.0,11-7,2.0,4.5,Hamilton,Moore,None,3.3333333333333335,N,38131.0,.95,1,,8.7,49.0,217.38233316,0.0,,22.0,0.037037037037037035
"Thursday, Apr 20",NYY,Home,LAA,W,9.0,3.0,9.0,12-7,2.0,4.0,Cortés,Sandoval,None,2.8166666666666664,D,39315.0,1.01,2,,10.7,63.0,232.38233316,0.0,,11.2,0.037037037037037035
"Friday, Apr 21",NYY,Home,TOR,L,1.0,6.0,9.0,12-8,3.0,5.0,Kikuchi,Germán,None,2.5,N,39025.0,1.14,-1,,9.8,76.0,67.38233316,0.0,,11.9,0.07407407407407407
"Saturday, Apr 22",NYY,Home,TOR,W-wo,3.0,2.0,9.0,13-8,3.0,5.0,Cordero,Romano,None,2.5833333333333335,D,43223.0,1.07,1,,13.3,77.0,344.38233316000003,0.0,,18.4,0.1111111111111111
"Sunday, Apr 23",NYY,Home,TOR,L,1.0,5.0,9.0,13-9,3.0,6.0,Gausman,Schmidt,None,2.3833333333333333,D,39293.0,1.07,-1,,14.4,90.0,284.38233316000003,2.4,,0.0,0.3333333333333333
"Monday, Apr 24",NYY,@,MIN,L,1.0,6.0,9.0,13-10,4.0,7.0,Gray,Brito,None,2.9,N,16242.0,.99,-2,,3.3,50.0,269.49605421,0.0,,0.0,0.1111111111111111
"Tuesday, Apr 25",NYY,@,MIN,L,2.0,6.0,9.0,13-11,4.0,7.0,Ryan,Cortés,None,2.2666666666666666,N,19201.0,.89,-3,,3.9,59.0,309.49605421,0.0,,9.4,0.037037037037037035
"Wednesday, Apr 26",NYY,@,MIN,W,12.0,6.0,9.0,14-11,4.0,6.0,Germán,Maeda,None,2.45,D,20511.0,.90,1,,3.3,52.0,269.49605421,0.0,,0.0,0.1111111111111111
