Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",OAK,Home,LAA,W,2.0,1.0,9.0,1-0,1.0,Tied,May,Loup,Jiménez,2.5,N,26805.0,1.00,1,,10.0,71.0,145.48883674,0.0,,14.8,0.25925925925925924
"Saturday, Apr 1",OAK,Home,LAA,L,1.0,13.0,9.0,1-1,3.0,1.0,Sandoval,Fujinami,Davidson,2.4,D,15757.0,1.04,-1,,11.7,61.0,225.48883674,0.0,,14.8,0.07407407407407407
"Sunday, Apr 2",OAK,Home,LAA,L,0.0,6.0,9.0,1-2,4.0,2.0,Anderson,Waldichuk,None,2.533333333333333,D,14638.0,.97,-2,,12.8,72.0,215.48883674,0.0,,24.1,0.07407407407407407
"Monday, Apr 3",OAK,Home,CLE,L,11.0,12.0,10.0,1-3,4.0,2.0,Clase,May,Morgan,3.3166666666666664,N,3035.0,.88,-3,,10.0,74.0,245.48883674,0.0,,20.5,0.1111111111111111
"Tuesday, Apr 4",OAK,Home,CLE,W-wo,4.0,3.0,9.0,2-3,3.0,1.0,May,Karinchak,None,2.6833333333333336,N,3407.0,.83,1,,10.0,61.0,245.48883674,0.0,,55.4,0.07407407407407407
"Wednesday, Apr 5",OAK,Home,CLE,L,4.0,6.0,10.0,2-4,4.0,2.0,Morgan,Jackson,Clase,2.966666666666667,D,4930.0,.90,-1,,10.6,61.0,225.48883674,0.0,,22.3,0.1111111111111111
"Friday, Apr 7",OAK,@,TBR,L,5.0,9.0,9.0,2-5,5.0,2.0,Eflin,Waldichuk,None,2.3833333333333333,N,15980.0,.86,-2,,25.6,82.0,321.0,0.0,,11.2,0.037037037037037035
"Saturday, Apr 8",OAK,@,TBR,L,0.0,11.0,9.0,2-6,5.0,3.0,Springs,Fujinami,None,2.3333333333333335,D,15880.0,.81,-3,,25.6,74.0,291.0,0.0,,7.6,0.1111111111111111
"Sunday, Apr 9",OAK,@,TBR,L,0.0,11.0,9.0,2-7,5.0,3.0,Rasmussen,Kaprielian,None,2.65,D,11159.0,.79,-4,,25.0,85.0,251.0,0.0,,13.0,0.037037037037037035
"Monday, Apr 10",OAK,@,BAL,L,1.0,5.0,9.0,2-8,5.0,4.0,Gibson,Sears,None,2.8,N,9322.0,.71,-5,,10.6,42.0,95.66021454,0.0,,21.6,0.037037037037037035
"Tuesday, Apr 11",OAK,@,BAL,L,8.0,12.0,9.0,2-9,5.0,5.0,Baker,Moll,None,3.1333333333333333,N,12305.0,.66,-6,,12.2,37.0,199.66021454,0.0,,15.8,0.037037037037037035
"Wednesday, Apr 12",OAK,@,BAL,W,8.0,4.0,9.0,3-9,5.0,4.0,Smith,Akin,None,2.8333333333333335,N,10181.0,.64,1,,18.3,26.0,245.66021454,0.0,,18.7,0.1111111111111111
"Thursday, Apr 13",OAK,@,BAL,L-wo,7.0,8.0,9.0,3-10,5.0,4.5,Bautista,May,None,2.966666666666667,D,11665.0,.64,-1,,23.3,32.0,250.66021454,0.0,,16.2,0.037037037037037035
"Friday, Apr 14",OAK,Home,NYM,L,6.0,17.0,9.0,3-11,5.0,5.5,Santana,Kaprielian,None,3.4833333333333334,N,11102.0,.58,-2,,11.1,69.0,205.48883674,0.0,,18.4,0.07407407407407407
