Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",PHI,@,TEX,L,7.0,11.0,9.0,0-1,3.0,1.0,Ragans,Soto,None,3.066666666666667,D,38387.0,.91,-1,,16.7,65.0,107.19716629,0.0,,11.2,0.07407407407407407
"Saturday, Apr 1",PHI,@,TEX,L,3.0,16.0,9.0,0-2,4.0,2.0,Eovaldi,Wheeler,None,3.1666666666666665,D,31916.0,.91,-2,,21.1,15.0,227.19716628999998,0.0,,14.8,0.07407407407407407
"Sunday, Apr 2",PHI,@,TEX,L,1.0,2.0,9.0,0-3,5.0,2.5,Pérez,Falter,Smith,2.4,N,25823.0,.84,-3,,18.3,33.0,327.19716629,0.0,,0.0,0.1111111111111111
"Monday, Apr 3",PHI,@,NYY,L,1.0,8.0,9.0,0-4,5.0,3.0,Cortés,Walker,None,2.6833333333333336,N,37202.0,.78,-4,,6.7,28.0,284.38233316000003,0.0,,0.0,0.037037037037037035
"Tuesday, Apr 4",PHI,@,NYY,W,4.0,1.0,9.0,1-4,4.0,3.0,Bellatti,Germán,None,2.75,N,35392.0,.73,1,,10.6,68.0,184.38233316,0.0,,11.2,0.07407407407407407
"Wednesday, Apr 5",PHI,@,NYY,L,2.0,4.0,9.0,1-5,4.0,4.0,Cole,Nola,Holmes,2.5,D,35847.0,.82,-1,,17.2,78.0,284.38233316000003,0.0,,0.0,0.1111111111111111
"Friday, Apr 7",PHI,Home,CIN,W,5.0,2.0,9.0,2-5,4.0,3.5,Soto,Law,Kimbrel,2.716666666666667,D,44365.0,.82,1,2023-04-06 (Rain),15.6,75.0,309.92948032,0.8,,9.4,0.25925925925925924
"Saturday, Apr 8",PHI,Home,CIN,W-wo,3.0,2.0,9.0,3-5,3.0,2.5,Vasquez,Díaz,None,2.783333333333333,D,44526.0,.83,2,,10.6,30.0,309.92948032,0.0,,9.4,0.14814814814814814
"Sunday, Apr 9",PHI,Home,CIN,L,4.0,6.0,9.0,3-6,4.0,2.5,Herget,Domínguez,Gibaut,2.7,D,39129.0,.90,-1,,6.1,53.0,169.92948032,0.0,,9.4,0.1111111111111111
"Monday, Apr 10",PHI,Home,MIA,W,15.0,3.0,9.0,4-6,3.0,2.5,Strahm,Alcántara,None,2.4833333333333334,N,28642.0,.90,1,,7.8,55.0,139.92948032,0.0,,7.6,0.07407407407407407
"Tuesday, Apr 11",PHI,Home,MIA,L,4.0,8.0,9.0,4-7,4.0,3.5,Luzardo,Nola,None,2.95,N,43444.0,.91,-1,,10.6,56.0,199.92948032,0.0,,9.4,0.07407407407407407
"Wednesday, Apr 12",PHI,Home,MIA,L,2.0,3.0,10.0,4-8,4.0,4.5,Puk,Soto,None,2.6666666666666665,D,29584.0,.87,-2,,18.3,34.0,219.92948032,0.0,,20.5,0.1111111111111111
"Thursday, Apr 13",PHI,@,CIN,L,2.0,6.0,9.0,4-9,4.0,5.0,Lodolo,Falter,Díaz,2.5666666666666664,N,12170.0,.79,-3,,15.0,64.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Friday, Apr 14",PHI,@,CIN,W,8.0,3.0,9.0,5-9,4.0,5.0,Walker,Overton,None,2.7,N,17610.0,.76,1,,15.0,72.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Saturday, Apr 15",PHI,@,CIN,L,0.0,13.0,9.0,5-10,4.0,6.0,Ashcraft,Strahm,None,2.65,D,25860.0,.79,-1,,17.8,70.0,87.6572646,0.0,,11.2,0.1111111111111111
"Sunday, Apr 16",PHI,@,CIN,W,14.0,3.0,9.0,6-10,4.0,6.0,Nola,Cessa,None,3.033333333333333,D,13115.0,.72,1,,14.4,90.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Wednesday, Apr 19",PHI,@,CHW,W,5.0,2.0,9.0,8-11,4.0,6.0,Walker,Clevinger,Alvarado,2.3833333333333333,D,10149.0,.68,1,,9.4,46.0,332.93932770000004,0.0,,7.6,0.037037037037037035
"Thursday, Apr 20",PHI,Home,COL,L,0.0,5.0,9.0,8-12,4.0,6.5,Feltner,Strahm,None,2.6666666666666665,N,35062.0,.80,-1,,13.3,53.0,189.92948032,0.0,,11.2,0.07407407407407407
"Friday, Apr 21",PHI,Home,COL,W,4.0,3.0,9.0,9-12,4.0,5.5,Domínguez,Hand,Alvarado,2.5833333333333335,N,43261.0,.71,1,,12.2,75.0,89.92948032,0.0,,14.8,0.07407407407407407
"Saturday, Apr 22",PHI,Home,COL,W,4.0,3.0,9.0,10-12,4.0,4.5,Brogdon,Freeland,Kimbrel,2.4333333333333336,D,41939.0,.73,2,,13.3,90.0,59.929480319999996,0.0,,18.4,0.1111111111111111
"Sunday, Apr 23",PHI,Home,COL,W,9.0,3.0,9.0,11-12,4.0,3.5,Wheeler,Ureña,None,2.716666666666667,D,44618.0,.79,3,,15.0,96.0,349.92948032,1.3,,0.0,0.2962962962962963
"Tuesday, Apr 25",PHI,Home,SEA,L,3.0,5.0,9.0,11-13,4.0,5.0,Gonzales,Falter,Sewald,2.6333333333333333,N,42323.0,.85,-1,,10.6,41.0,299.92948032,0.0,,11.2,0.07407407407407407
"Wednesday, Apr 26",PHI,Home,SEA,W,6.0,5.0,9.0,12-13,3.0,5.0,Kimbrel,Topa,Alvarado,2.5666666666666664,N,32641.0,.83,1,,10.0,41.0,309.92948032,0.0,,5.4,0.07407407407407407
