Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",PIT,@,CIN,W,5.0,4.0,9.0,1-0,1.0,Tied,Zastryzny,Farmer,Bednar,3.033333333333333,D,44063.0,1.03,1,,4.4,70.0,247.65726460000002,0.0,,16.6,0.07407407407407407
"Saturday, Apr 1",PIT,@,CIN,L,2.0,6.0,9.0,1-1,1.0,Tied,Lodolo,Hill,None,2.2666666666666666,D,22224.0,1.02,-1,,16.7,84.0,67.6572646,0.0,,18.4,0.2962962962962963
"Sunday, Apr 2",PIT,@,CIN,L,1.0,3.0,9.0,1-2,4.0,1.0,Ashcraft,Velasquez,Díaz,2.4,D,14421.0,1.03,-2,,5.0,89.0,147.65726460000002,0.0,,16.6,0.1111111111111111
"Monday, Apr 3",PIT,@,BOS,W,7.0,6.0,9.0,2-2,3.0,1.0,Underwood,Crawford,Bednar,2.95,N,28369.0,.88,1,,3.3,22.0,285.82575904,0.0,,14.8,0.037037037037037035
"Tuesday, Apr 4",PIT,@,BOS,W,4.0,1.0,9.0,3-2,2.0,1.0,Contreras,Pivetta,Bednar,2.6,N,28842.0,.91,2,,8.3,65.0,165.82575904,0.0,,27.7,0.1111111111111111
"Wednesday, Apr 5",PIT,@,BOS,W,4.0,1.0,9.0,4-2,2.0,1.0,Keller,Kluber,Underwood,2.533333333333333,D,24477.0,.96,3,,8.9,83.0,335.82575904,0.0,,11.2,0.14814814814814814
"Friday, Apr 7",PIT,Home,CHW,W,13.0,9.0,9.0,5-2,2.0,1.0,Moreta,Diekman,Crowe,2.8,D,39167.0,1.01,4,,8.3,48.0,143.42357570000001,0.0,,5.4,0.14814814814814814
"Saturday, Apr 8",PIT,Home,CHW,L,5.0,11.0,9.0,5-3,2.0,1.0,Clevinger,Velasquez,None,3.066666666666667,N,21162.0,1.01,-1,,3.9,39.0,273.4235757,0.0,,14.8,0.1111111111111111
"Sunday, Apr 9",PIT,Home,CHW,W,1.0,0.0,9.0,6-3,2.0,1.0,Oviedo,Kopech,Bednar,2.35,D,10571.0,1.00,1,,7.2,35.0,233.42357570000001,0.0,,9.4,0.1111111111111111
"Monday, Apr 10",PIT,Home,HOU,L,2.0,8.0,9.0,6-4,2.0,1.0,Valdez,Contreras,None,2.65,N,10222.0,1.03,-1,,9.4,32.0,173.42357570000001,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 11",PIT,Home,HOU,W-wo,7.0,4.0,9.0,7-4,2.0,1.0,Bednar,Pressly,None,2.5,N,9996.0,.98,1,,13.3,26.0,203.42357570000001,0.0,,5.4,0.07407407407407407
"Wednesday, Apr 12",PIT,Home,HOU,L,0.0,7.0,9.0,7-5,2.0,1.0,Urquidy,Hill,None,2.85,D,10064.0,.99,-1,,17.8,26.0,123.4235757,0.0,,7.6,0.14814814814814814
"Thursday, Apr 13",PIT,@,STL,W,5.0,0.0,9.0,8-5,2.0,1.0,Velasquez,Montgomery,None,2.6833333333333336,N,37805.0,1.10,1,,18.3,37.0,97.30370855999999,0.0,,9.4,0.1111111111111111
