Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",SDP,Home,COL,L,2.0,7.0,9.0,0-1,3.0,1.0,Márquez,Snell,None,2.9333333333333336,N,45103.0,.96,-1,,13.3,69.0,320.2625247,0.0,,9.4,0.1111111111111111
"Friday, Mar 31",SDP,Home,COL,L,1.0,4.0,9.0,0-2,5.0,2.0,Freeland,Martinez,Johnson,2.45,N,43177.0,.98,-2,,12.8,74.0,300.2625247,0.3,,5.4,0.25925925925925924
"Saturday, Apr 1",SDP,Home,COL,W,8.0,4.0,9.0,1-2,4.0,1.0,Wacha,Ureña,None,2.6666666666666665,N,42663.0,.94,1,,13.9,74.0,330.2625247,0.0,,14.8,0.1111111111111111
"Sunday, Apr 2",SDP,Home,COL,W,3.0,1.0,9.0,2-2,1.0,Tied,Lugo,Gomber,Hader,2.05,D,43972.0,.97,2,,14.4,78.0,300.2625247,0.0,,5.4,0.07407407407407407
"Monday, Apr 3",SDP,Home,ARI,W-wo,5.0,4.0,9.0,3-2,1.0,Tied,Hill,McGough,None,2.4833333333333334,N,37602.0,1.00,3,,15.0,69.0,280.2625247,0.0,,7.6,0.1111111111111111
"Tuesday, Apr 4",SDP,Home,ARI,L,6.0,8.0,9.0,3-3,2.0,1.0,Ginkel,García,Jameson,2.9166666666666665,D,34542.0,1.02,-1,,13.3,60.0,290.2625247,0.0,,18.4,0.1111111111111111
"Thursday, Apr 6",SDP,@,ATL,L-wo,6.0,7.0,9.0,3-4,3.0,2.0,Minter,Crismatt,None,3.2333333333333334,N,42803.0,.94,-2,,22.2,76.0,202.35313,0.0,,0.0,0.1111111111111111
"Friday, Apr 7",SDP,@,ATL,W,5.0,4.0,9.0,4-4,2.0,1.0,Honeywell,Tonkin,Hader,3.0166666666666666,N,41963.0,.90,1,,21.7,79.0,202.35313,0.0,,0.0,0.1111111111111111
"Saturday, Apr 8",SDP,@,ATL,W,4.0,1.0,9.0,5-4,1.0,Tied,Wacha,Morton,Hader,2.9166666666666665,N,40154.0,.95,2,,12.8,72.0,272.35312999999996,0.0,,20.5,0.1111111111111111
"Sunday, Apr 9",SDP,@,ATL,W,10.0,2.0,9.0,6-4,1.0,Tied,Lugo,Dodd,None,2.8333333333333335,N,40138.0,1.02,3,,6.7,93.0,242.35313,0.0,,18.4,0.1111111111111111
"Monday, Apr 10",SDP,@,NYM,L,0.0,5.0,9.0,6-5,2.0,1.0,Scherzer,Darvish,None,2.6333333333333333,N,30244.0,1.04,-1,,4.6,87.0,157.00885818,0.0,,11.9,0.037037037037037035
"Tuesday, Apr 11",SDP,@,NYM,W,4.0,2.0,9.0,7-5,1.0,Tied,Weathers,Peterson,Hader,2.85,N,30769.0,1.01,1,,12.8,47.0,256.00885818,0.0,,7.6,0.037037037037037035
"Wednesday, Apr 12",SDP,@,NYM,L,2.0,5.0,9.0,7-6,2.0,1.0,Megill,Snell,Ottavino,2.85,D,34876.0,1.01,-1,,17.8,35.0,266.00885818,0.0,,27.7,0.1111111111111111
"Thursday, Apr 13",SDP,Home,MIL,L,3.0,4.0,10.0,7-7,3.0,1.5,Williams,García,Payamps,2.85,N,43296.0,1.02,-2,,13.9,87.0,150.26252469999997,0.0,,14.8,0.18518518518518517
"Friday, Apr 14",SDP,Home,MIL,L,2.0,11.0,9.0,7-8,3.0,1.5,Lauer,Wacha,Wilson,2.7,N,43822.0,.97,-3,,13.3,72.0,170.26252469999997,0.0,,13.0,0.1111111111111111
"Saturday, Apr 15",SDP,Home,MIL,W,10.0,3.0,9.0,8-8,3.0,0.5,Wilson,Peralta,None,3.2,D,42284.0,.93,1,,14.4,72.0,310.2625247,0.0,,5.4,0.07407407407407407
"Sunday, Apr 16",SDP,Home,MIL,L,0.0,1.0,9.0,8-9,3.0,1.5,Miley,Darvish,Williams,2.3666666666666667,D,43875.0,.97,-1,,14.4,78.0,320.2625247,0.0,,11.2,0.1111111111111111
"Monday, Apr 17",SDP,Home,ATL,L,0.0,2.0,9.0,8-10,3.0,2.5,Fried,Weathers,Minter,2.3666666666666667,N,31846.0,.93,-2,,14.4,78.0,300.2625247,0.0,,9.4,0.1111111111111111
"Tuesday, Apr 18",SDP,Home,ATL,L,1.0,8.0,9.0,8-11,3.0,3.5,Strider,Snell,None,2.533333333333333,N,42693.0,.88,-3,,15.0,69.0,280.2625247,0.0,,11.2,0.1111111111111111
"Wednesday, Apr 19",SDP,Home,ATL,W,1.0,0.0,9.0,9-11,3.0,2.5,Martinez,Morton,Hader,2.216666666666667,D,29581.0,.81,1,,15.0,72.0,290.2625247,0.0,,11.2,0.1111111111111111
"Thursday, Apr 20",SDP,@,ARI,W,7.0,5.0,9.0,10-11,3.0,1.5,Honeywell,Nelson,Hader,2.966666666666667,N,16734.0,.95,2,,23.3,12.0,250.25083210000003,0.0,,18.4,0.07407407407407407
"Friday, Apr 21",SDP,@,ARI,L,0.0,9.0,9.0,10-12,3.0,2.5,Gallen,Lugo,None,2.533333333333333,N,21308.0,1.01,-1,,25.0,12.0,240.25083210000003,0.0,,13.0,0.037037037037037035
"Saturday, Apr 22",SDP,@,ARI,W,5.0,3.0,9.0,11-12,3.0,1.5,Musgrove,Kelly,Hader,2.8,N,28419.0,.93,1,,28.3,10.0,230.25083210000003,0.0,,7.6,0.07407407407407407
"Sunday, Apr 23",SDP,@,ARI,W,7.0,5.0,9.0,12-12,3.0,0.5,Darvish,Jameson,Hader,3.0166666666666666,D,23655.0,1.02,2,,31.1,12.0,310.2508321,0.0,,22.3,0.1111111111111111
"Tuesday, Apr 25",SDP,@,CHC,L,0.0,6.0,9.0,12-13,3.0,1.5,Steele,Snell,None,2.8666666666666667,N,27956.0,.99,-1,,8.9,42.0,72.38427116,0.0,,11.2,0.1111111111111111
"Wednesday, Apr 26",SDP,@,CHC,W,5.0,3.0,9.0,13-13,3.0,1.0,Martinez,Hughes,Hader,2.783333333333333,N,28955.0,.95,1,,4.4,62.0,332.38427116,0.0,,13.0,0.037037037037037035
"Thursday, Apr 27",SDP,@,CHC,L,2.0,5.0,9.0,13-14,3.0,1.5,Wesneski,Lugo,Boxberger,2.5,D,26588.0,1.00,-1,,5.6,67.0,62.38427116,0.0,,11.2,0.037037037037037035
"Saturday, Apr 29",SDP,Home,SFG,W,16.0,11.0,9.0,14-14,3.0,2.0,Cosgrove,Rogers,Martinez,3.7333333333333334,N,19611.0,.97,1,,15.6,78.0,290.2625247,0.0,,7.6,0.1111111111111111
"Sunday, Apr 30",SDP,Home,SFG,W,6.0,4.0,9.0,15-14,3.0,1.0,García,Rogers,Hader,2.8666666666666667,D,19633.0,1.01,2,,16.1,75.0,310.2625247,0.0,,7.6,0.1111111111111111
"Monday, May 1",SDP,Home,CIN,W,8.0,3.0,9.0,16-14,3.0,1.0,Snell,Weaver,Tapia,2.6833333333333336,N,37491.0,1.05,3,,15.6,75.0,220.26252469999997,0.0,,13.0,0.14814814814814814
"Tuesday, May 2",SDP,Home,CIN,L,1.0,2.0,10.0,16-15,3.0,2.0,Law,García,Díaz,2.783333333333333,N,43127.0,1.07,-1,,16.1,58.0,250.26252469999997,0.0,,14.8,0.1111111111111111
"Wednesday, May 3",SDP,Home,CIN,W,7.0,1.0,9.0,17-15,3.0,2.0,Lugo,Cessa,None,2.9166666666666665,D,30531.0,.99,1,,15.0,64.0,300.2625247,0.0,,9.4,0.1111111111111111
