Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",SEA,Home,CLE,W,3.0,0.0,9.0,1-0,1.0,Tied,Sewald,Karinchak,Muñoz,2.2333333333333334,N,45268.0,.95,1,,12.8,25.0,310.69115924,0.0,,0.0,0.1111111111111111
"Friday, Mar 31",SEA,Home,CLE,L,4.0,9.0,9.0,1-1,3.0,0.5,Sandlin,Ray,None,3.0833333333333335,N,31516.0,.99,-1,,8.3,61.0,160.69115924,0.0,,13.0,0.07407407407407407
"Saturday, Apr 1",SEA,Home,CLE,L,0.0,2.0,9.0,1-2,5.0,1.5,Civale,Gilbert,Clase,2.066666666666667,N,44250.0,.95,-2,,7.2,90.0,100.69115923999999,0.3,,18.4,0.3333333333333333
"Sunday, Apr 2",SEA,Home,CLE,L,5.0,6.0,10.0,1-3,5.0,2.5,De Los Santos,Murfee,Stephan,2.95,D,34045.0,.88,-3,,7.2,60.0,160.69115924,0.0,,13.0,0.037037037037037035
"Monday, Apr 3",SEA,Home,LAA,L,3.0,7.0,9.0,1-4,5.0,2.5,Tepera,Kirby,None,2.8166666666666664,N,18877.0,.90,-4,,5.0,79.0,270.69115924,0.0,,20.5,0.3333333333333333
"Tuesday, Apr 4",SEA,Home,LAA,W,11.0,2.0,9.0,2-4,4.0,1.5,Castillo,Suarez,None,2.5166666666666666,N,19255.0,.81,1,,7.2,58.0,310.69115924,0.0,,0.0,0.6666666666666666
"Wednesday, Apr 5",SEA,Home,LAA,L,3.0,4.0,9.0,2-5,5.0,2.5,Ohtani,Flexen,Quijada,2.9166666666666665,D,25648.0,.89,-1,,8.9,35.0,310.69115924,0.0,,0.0,0.037037037037037035
"Friday, Apr 7",SEA,@,CLE,W,5.0,3.0,9.0,3-5,3.0,1.5,Murfee,Civale,Sewald,2.5666666666666664,D,34821.0,.80,1,,8.3,61.0,250.74520769999998,0.0,,14.8,0.1111111111111111
"Saturday, Apr 8",SEA,@,CLE,W,3.0,2.0,9.0,4-5,3.0,1.5,Gonzales,Quantrill,Sewald,2.5833333333333335,N,17489.0,.85,2,,3.3,55.0,80.74520769999998,0.0,,9.4,0.07407407407407407
"Sunday, Apr 9",SEA,@,CLE,L-wo,6.0,7.0,12.0,4-6,3.0,1.5,Herrin,Murfee,None,3.8,D,12716.0,.89,-1,,5.6,49.0,70.74520769999998,0.0,,5.4,0.037037037037037035
"Monday, Apr 10",SEA,@,CHC,L-wo,2.0,3.0,10.0,4-7,4.0,2.5,Thompson,Brash,None,2.6333333333333333,N,26766.0,.85,-2,,15.6,32.0,122.38427116,0.0,,9.4,0.07407407407407407
"Tuesday, Apr 11",SEA,@,CHC,L,9.0,14.0,9.0,4-8,4.0,3.5,Rucker,Flexen,None,3.033333333333333,N,30081.0,.78,-3,,17.2,29.0,152.38427116,0.0,,9.4,0.037037037037037035
"Wednesday, Apr 12",SEA,@,CHC,W,5.0,2.0,9.0,5-8,4.0,2.5,Gilbert,Stroman,None,2.5166666666666666,D,26944.0,.73,1,,22.2,38.0,172.38427116,0.0,,16.6,0.1111111111111111
"Friday, Apr 14",SEA,Home,COL,W,5.0,3.0,9.0,6-8,3.0,2.5,Brash,Gomber,Sewald,2.5666666666666664,N,32698.0,.77,2,,8.3,68.0,210.69115924,0.0,,11.2,0.2962962962962963
"Saturday, Apr 15",SEA,Home,COL,W,9.0,2.0,9.0,7-8,3.0,1.5,Kirby,Feltner,None,2.8166666666666664,N,27549.0,.83,3,,11.1,46.0,110.69115923999999,0.0,,5.4,0.07407407407407407
"Sunday, Apr 16",SEA,Home,COL,W,1.0,0.0,9.0,8-8,2.0,1.5,Castillo,Lamet,Sewald,2.3166666666666664,D,23585.0,.86,4,,9.4,77.0,100.69115923999999,0.0,,7.6,0.1111111111111111
"Monday, Apr 17",SEA,Home,MIL,L,3.0,7.0,9.0,8-9,3.0,2.5,Burnes,Flexen,None,2.716666666666667,N,14276.0,.90,-1,,7.2,71.0,150.69115924,0.2,,18.4,0.6296296296296297
"Tuesday, Apr 18",SEA,Home,MIL,L,5.0,6.0,11.0,8-10,3.0,3.5,Wilson,Topa,None,3.1166666666666667,N,18206.0,.86,-2,,7.2,74.0,310.69115924,0.0,,0.0,0.3333333333333333
"Wednesday, Apr 19",SEA,Home,MIL,L,3.0,5.0,9.0,8-11,4.0,4.5,Lauer,Brash,Bush,2.3333333333333335,D,17461.0,.76,-3,,6.1,76.0,110.69115923999999,1.8,,18.4,0.3333333333333333
"Friday, Apr 21",SEA,Home,STL,W,5.0,2.0,9.0,9-11,4.0,3.5,Kirby,Matz,Sewald,2.216666666666667,N,29633.0,.78,1,,6.7,96.0,80.69115923999999,1.0,,7.6,0.3333333333333333
"Saturday, Apr 22",SEA,Home,STL,W,5.0,4.0,9.0,10-11,3.0,3.5,Brash,Thompson,Sewald,2.4833333333333334,N,38732.0,.79,2,,10.6,68.0,130.69115924,0.0,,7.6,0.1111111111111111
