Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",SFG,@,NYY,L,0.0,5.0,9.0,0-1,3.0,1.0,Cole,Webb,None,2.55,D,46172.0,.91,-1,,6.7,65.0,164.38233316,0.0,,13.0,0.1111111111111111
"Saturday, Apr 1",SFG,@,NYY,W,7.0,5.0,9.0,1-1,3.0,0.5,Junis,King,Doval,3.2,D,41642.0,.84,1,,12.8,72.0,284.38233316000003,0.0,,0.0,0.1111111111111111
"Sunday, Apr 2",SFG,@,NYY,L,0.0,6.0,9.0,1-2,5.0,0.5,Brito,Stripling,None,2.45,D,42053.0,.91,-1,,12.2,72.0,194.38233316,0.0,,18.4,0.1111111111111111
"Monday, Apr 3",SFG,@,CHW,W,12.0,3.0,9.0,2-2,3.0,0.5,DeSclafani,Kopech,None,2.6,D,34784.0,.92,1,,11.7,54.0,62.93932770000001,0.0,,22.3,0.037037037037037035
"Wednesday, Apr 5",SFG,@,CHW,L,3.0,7.0,9.0,2-3,4.0,1.5,Cease,Webb,None,2.8166666666666664,D,15980.0,.95,-1,,20.0,81.0,2.939327700000007,0.3,,20.5,0.25925925925925924
"Thursday, Apr 6",SFG,@,CHW,W,16.0,6.0,9.0,3-3,2.0,1.5,Junis,Lynn,None,2.8333333333333335,D,18261.0,.89,1,,5.0,65.0,122.9393277,0.0,,22.3,0.1111111111111111
"Friday, Apr 7",SFG,Home,KCR,L,1.0,3.0,9.0,3-4,4.0,1.5,Keller,Cobb,Barlow,2.3833333333333333,D,40711.0,.94,-1,,11.7,66.0,224.8480534,0.0,,9.4,0.14814814814814814
"Saturday, Apr 8",SFG,Home,KCR,L,5.0,6.0,9.0,3-5,4.0,1.5,Clarke,Doval,Chapman,2.3833333333333333,D,35126.0,.87,-2,,12.2,77.0,194.8480534,0.0,,16.6,0.1111111111111111
"Sunday, Apr 9",SFG,Home,KCR,W,3.0,1.0,9.0,4-5,4.0,1.5,Brebbia,Yarbrough,Rogers,2.25,D,30207.0,.84,1,,12.8,66.0,224.8480534,0.0,,11.2,0.07407407407407407
"Monday, Apr 10",SFG,Home,LAD,L,1.0,9.0,9.0,4-6,5.0,2.5,Urías,Webb,None,2.5166666666666666,N,35232.0,.99,-1,,15.6,62.0,214.8480534,0.0,,9.4,0.07407407407407407
"Tuesday, Apr 11",SFG,Home,LAD,W,5.0,0.0,9.0,5-6,4.0,1.5,Alexander,May,None,2.6333333333333333,N,30768.0,.88,1,,13.3,84.0,194.8480534,0.0,,18.4,0.07407407407407407
"Wednesday, Apr 12",SFG,Home,LAD,L,5.0,10.0,9.0,5-7,4.0,2.5,Kershaw,Rogers,None,3.1666666666666665,N,34903.0,.97,-1,,11.7,64.0,184.8480534,0.0,,29.5,0.07407407407407407
"Friday, Apr 14",SFG,@,DET,L-wo,5.0,7.0,11.0,5-8,4.0,2.5,Cisnero,Doval,None,3.8333333333333335,N,15289.0,.82,-2,,16.5,51.0,38.772950699999996,0.0,,15.0,0.037037037037037035
"Saturday, Apr 15",SFG,@,DET,L-wo,6.0,7.0,11.0,5-9,4.0,2.5,Shreve,Rogers,None,3.0833333333333335,D,18344.0,.81,-3,,15.4,57.0,38.772950699999996,0.0,,11.0,0.1111111111111111
"Monday, Apr 17",SFG,@,MIA,L,3.0,4.0,9.0,5-10,4.0,4.0,Barnes,Webb,Puk,2.3166666666666664,N,8744.0,.81,-4,,23.3,88.0,291.8678115,0.0,,20.5,0.1111111111111111
"Tuesday, Apr 18",SFG,@,MIA,L,2.0,4.0,9.0,5-11,4.0,5.0,Cabrera,Junis,Puk,2.45,N,8783.0,.76,-5,,24.4,79.0,231.8678115,0.0,,0.0,0.07407407407407407
"Wednesday, Apr 19",SFG,@,MIA,W,5.0,2.0,11.0,6-11,4.0,4.0,Doval,Smeltzer,Rogers,3.6166666666666667,D,8272.0,.66,1,,23.3,56.0,251.8678115,0.0,,5.4,0.07407407407407407
"Thursday, Apr 20",SFG,Home,NYM,L,4.0,9.0,9.0,6-12,4.0,4.0,Senga,Manaea,None,2.5666666666666664,N,24452.0,.77,-1,,12.8,59.0,214.8480534,0.0,,20.5,0.07407407407407407
"Friday, Apr 21",SFG,Home,NYM,L,0.0,7.0,9.0,6-13,4.0,5.0,Lucchesi,DeSclafani,None,2.25,N,27551.0,.68,-2,,14.4,57.0,194.8480534,0.0,,16.6,0.07407407407407407
"Saturday, Apr 22",SFG,Home,NYM,W,7.0,4.0,9.0,7-13,4.0,4.0,Webb,Peterson,None,2.5833333333333335,D,29912.0,.62,1,,15.6,72.0,194.8480534,0.0,,16.6,0.07407407407407407
"Sunday, Apr 23",SFG,Home,NYM,W,5.0,4.0,9.0,8-13,4.0,3.0,Alexander,Smith,Doval,2.6166666666666667,D,27721.0,.70,2,,15.0,69.0,194.8480534,0.0,,16.6,0.1111111111111111
"Monday, Apr 24",SFG,Home,STL,W,4.0,0.0,9.0,9-13,4.0,3.0,Cobb,Montgomery,None,2.3333333333333335,N,20203.0,.72,3,,12.2,77.0,184.8480534,0.0,,31.7,0.07407407407407407
"Tuesday, Apr 25",SFG,Home,STL,W-wo,5.0,4.0,9.0,10-13,4.0,2.5,Hjelle,Helsley,None,2.5666666666666664,N,20797.0,.79,4,,12.2,75.0,174.8480534,0.0,,18.4,0.07407407407407407
