Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",STL,Home,TOR,L,9.0,10.0,9.0,0-1,3.0,1.0,García,Helsley,Romano,3.6333333333333333,D,47649.0,.88,-1,,8.3,56.0,57.30370856,0.0,,7.6,0.07407407407407407
"Saturday, Apr 1",STL,Home,TOR,W,4.0,1.0,9.0,1-1,1.0,Tied,Flaherty,Gausman,Helsley,2.5166666666666666,D,44461.0,.86,1,,17.2,65.0,187.30370856,0.0,,16.6,0.07407407407407407
"Sunday, Apr 2",STL,Home,TOR,W,9.0,4.0,9.0,2-1,1.0,Tied,Montgomery,Bassitt,None,2.4833333333333334,D,45525.0,.88,2,,7.2,65.0,297.30370856,0.0,,0.0,0.037037037037037035
"Monday, Apr 3",STL,Home,ATL,L,4.0,8.0,9.0,2-2,3.0,1.0,Morton,Woodford,None,2.7666666666666666,N,37689.0,.97,-1,,15.0,53.0,97.30370855999999,0.0,,13.0,0.037037037037037035
"Tuesday, Apr 4",STL,Home,ATL,L,1.0,4.0,9.0,2-3,4.0,2.0,Dodd,Matz,Minter,2.3333333333333335,N,36501.0,.98,-2,,19.4,73.0,117.30370855999999,0.0,,7.6,0.07407407407407407
"Wednesday, Apr 5",STL,Home,ATL,L,2.0,5.0,9.0,2-4,5.0,3.0,Elder,Mikolas,Chavez,2.45,D,36300.0,.90,-3,,23.3,76.0,97.30370855999999,0.0,,16.6,0.1111111111111111
"Friday, Apr 7",STL,@,MIL,L,0.0,4.0,9.0,2-5,5.0,4.0,Woodruff,Flaherty,None,2.75,N,28459.0,.87,-4,,6.7,31.0,141.1462953,0.0,,9.4,0.07407407407407407
"Saturday, Apr 8",STL,@,MIL,W,6.0,0.0,9.0,3-5,5.0,3.0,Montgomery,Lauer,None,2.533333333333333,N,43077.0,.84,1,,1.1,64.0,301.1462953,0.0,,9.4,0.1111111111111111
"Sunday, Apr 9",STL,@,MIL,L,1.0,6.0,9.0,3-6,5.0,4.0,Peralta,Woodford,None,2.8166666666666664,D,27701.0,.90,-1,,8.9,46.0,31.14629529999999,0.0,,11.2,0.07407407407407407
"Monday, Apr 10",STL,@,COL,L,4.0,7.0,9.0,3-7,5.0,4.0,Márquez,Matz,None,2.2333333333333334,N,24092.0,.77,-2,,15.0,21.0,22.037509228,0.0,,16.7,0.07407407407407407
