Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",TBR,Home,DET,W,4.0,0.0,9.0,1-0,1.0,Tied,McClanahan,Rodríguez,None,2.2333333333333334,D,25025.0,.95,1,,22.8,71.0,11.0,0.0,,29.5,0.1111111111111111
"Saturday, Apr 1",TBR,Home,DET,W,12.0,2.0,9.0,2-0,1.0,up 1.0,Eflin,Turnbull,None,2.8,D,20204.0,.99,2,,24.4,77.0,321.0,0.0,,5.4,0.1111111111111111
"Sunday, Apr 2",TBR,Home,DET,W,5.0,1.0,9.0,3-0,1.0,up 1.0,Springs,Wentz,None,2.1666666666666665,D,19425.0,1.03,3,,23.9,96.0,201.0,0.0,,11.2,0.037037037037037035
"Monday, Apr 3",TBR,@,WSN,W,6.0,2.0,9.0,4-0,1.0,up 1.0,Rasmussen,Williams,None,2.4166666666666665,N,10754.0,1.03,4,,9.4,44.0,331.05180647,0.0,,0.0,0.07407407407407407
"Tuesday, Apr 4",TBR,@,WSN,W,10.0,6.0,9.0,5-0,1.0,up 2.0,Thompson,Finnegan,None,2.75,N,15272.0,1.00,5,,15.6,69.0,161.05180647,0.0,,16.6,0.1111111111111111
"Wednesday, Apr 5",TBR,@,WSN,W,7.0,2.0,9.0,6-0,1.0,up 2.0,McClanahan,Corbin,None,2.533333333333333,D,13836.0,1.06,6,,19.4,79.0,161.05180647,0.0,,11.2,0.07407407407407407
"Friday, Apr 7",TBR,Home,OAK,W,9.0,5.0,9.0,7-0,1.0,up 2.5,Eflin,Waldichuk,None,2.3833333333333333,N,15980.0,1.15,7,,25.6,82.0,321.0,0.0,,11.2,0.037037037037037035
"Saturday, Apr 8",TBR,Home,OAK,W,11.0,0.0,9.0,8-0,1.0,up 3.0,Springs,Fujinami,None,2.3333333333333335,D,15880.0,1.13,8,,25.6,74.0,291.0,0.0,,7.6,0.1111111111111111
"Sunday, Apr 9",TBR,Home,OAK,W,11.0,0.0,9.0,9-0,1.0,up 3.0,Rasmussen,Kaprielian,None,2.65,D,11159.0,1.14,9,,25.0,85.0,251.0,0.0,,13.0,0.037037037037037035
"Monday, Apr 10",TBR,Home,BOS,W,1.0,0.0,9.0,10-0,1.0,up 4.0,Poche,Martin,Fairbanks,2.1,N,13470.0,1.22,10,,21.1,87.0,1.0,0.0,,37.1,0.1111111111111111
"Tuesday, Apr 11",TBR,Home,BOS,W,7.0,2.0,9.0,11-0,1.0,up 4.0,McClanahan,Whitlock,None,2.5833333333333335,N,12649.0,1.28,11,,21.1,84.0,1.0,0.0,,44.6,0.25925925925925924
"Wednesday, Apr 12",TBR,Home,BOS,W,9.0,7.0,9.0,12-0,1.0,up 4.0,Bradley,Sale,Fairbanks,2.7333333333333334,N,17136.0,1.20,12,,22.2,66.0,31.0,0.0,,38.9,0.1111111111111111
"Thursday, Apr 13",TBR,Home,BOS,W,9.0,3.0,9.0,13-0,1.0,up 5.0,Kelly,Kluber,Bristo,2.6333333333333333,D,21175.0,1.22,13,,22.2,91.0,61.0,0.0,,31.7,0.1111111111111111
"Friday, Apr 14",TBR,@,TOR,L,3.0,6.0,9.0,13-1,1.0,up 4.0,Berríos,Rasmussen,Romano,2.6166666666666667,N,34822.0,1.25,-1,,21.3,40.0,257.9095893,0.0,,28.4,0.1111111111111111
"Saturday, Apr 15",TBR,@,TOR,L,2.0,5.0,9.0,13-2,1.0,up 3.0,Kikuchi,Kelley,Romano,2.5666666666666664,D,41679.0,1.32,-2,,19.2,41.0,85.9095893,0.0,,13.7,0.1111111111111111
"Sunday, Apr 16",TBR,@,TOR,W,8.0,1.0,9.0,14-2,1.0,up 4.0,McClanahan,Manoah,None,2.6666666666666665,D,39179.0,1.32,1,,18.1,44.0,209.9095893,0.0,,7.9,0.1111111111111111
"Monday, Apr 17",TBR,@,CIN,L,1.0,8.0,9.0,14-3,1.0,up 3.5,Gibaut,Beeks,None,2.466666666666667,N,7375.0,1.11,-1,,8.3,65.0,137.65726460000002,0.0,,20.5,0.1111111111111111
"Tuesday, Apr 18",TBR,@,CIN,W,10.0,0.0,9.0,15-3,1.0,up 4.0,Bradley,Lodolo,None,2.4166666666666665,N,11304.0,1.11,1,,4.4,89.0,277.6572646,0.0,,5.4,0.07407407407407407
"Wednesday, Apr 19",TBR,@,CIN,W,8.0,0.0,9.0,16-3,1.0,up 4.5,Rasmussen,Stoudt,None,2.4166666666666665,D,10205.0,1.09,2,,10.0,61.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Friday, Apr 21",TBR,Home,CHW,W-wo,8.0,7.0,9.0,17-3,1.0,up 4.5,Kelly,López,None,2.85,N,17973.0,1.14,3,,23.9,74.0,31.0,0.0,,33.5,0.037037037037037035
"Saturday, Apr 22",TBR,Home,CHW,W-wo,4.0,3.0,10.0,18-3,1.0,up 4.5,Cleavinger,Lambert,None,2.8833333333333333,D,22333.0,1.14,4,,23.9,82.0,311.0,0.0,,0.0,0.1111111111111111
"Sunday, Apr 23",TBR,Home,CHW,W,4.0,1.0,9.0,19-3,1.0,up 4.5,Eflin,Giolito,Fairbanks,2.033333333333333,D,22702.0,1.10,5,,24.4,85.0,261.0,0.0,,9.4,0.037037037037037035
