Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",TEX,Home,PHI,W,11.0,7.0,9.0,1-0,1.0,Tied,Ragans,Soto,None,3.066666666666667,D,38387.0,.89,1,,16.7,65.0,107.19716629,0.0,,11.2,0.07407407407407407
"Saturday, Apr 1",TEX,Home,PHI,W,16.0,3.0,9.0,2-0,1.0,up 0.5,Eovaldi,Wheeler,None,3.1666666666666665,D,31916.0,.90,2,,21.1,15.0,227.19716628999998,0.0,,14.8,0.07407407407407407
"Sunday, Apr 2",TEX,Home,PHI,W,2.0,1.0,9.0,3-0,1.0,up 1.0,Pérez,Falter,Smith,2.4,N,25823.0,.93,3,,18.3,33.0,327.19716629,0.0,,0.0,0.1111111111111111
"Monday, Apr 3",TEX,Home,BAL,L,0.0,2.0,9.0,3-1,1.0,Tied,Coulombe,Gray,Bautista,2.3,N,15867.0,1.09,-1,,19.4,93.0,107.19716629,0.0,,7.6,0.07407407407407407
"Tuesday, Apr 4",TEX,Home,BAL,L,2.0,7.0,9.0,3-2,1.0,Tied,Gibson,Heaney,None,2.5,N,16268.0,1.01,-2,,26.7,71.0,147.19716628999998,0.0,,29.5,0.07407407407407407
"Wednesday, Apr 5",TEX,Home,BAL,W,5.0,2.0,9.0,4-2,1.0,Tied,deGrom,Voth,Leclerc,2.3166666666666664,D,18560.0,.99,1,,25.6,76.0,127.19716629,0.0,,29.5,0.14814814814814814
"Friday, Apr 7",TEX,@,CHC,L,0.0,2.0,9.0,4-3,1.0,Tied,Stroman,Eovaldi,Fulmer,2.283333333333333,D,29094.0,.95,-1,,6.7,45.0,222.38427116,0.0,,9.4,0.037037037037037035
"Saturday, Apr 8",TEX,@,CHC,L,3.0,10.0,9.0,4-4,2.0,1.0,Steele,Pérez,None,2.9166666666666665,D,33578.0,.96,-2,,5.0,62.0,32.38427116,0.0,,11.2,0.037037037037037035
"Sunday, Apr 9",TEX,@,CHC,W,8.0,2.0,9.0,5-4,1.0,Tied,Gray,Taillon,None,2.5166666666666666,D,28807.0,.91,1,,10.0,48.0,112.38427116,0.0,,7.6,0.037037037037037035
"Monday, Apr 10",TEX,Home,KCR,W,11.0,2.0,9.0,6-4,1.0,up 1.0,Heaney,Greinke,None,2.5,N,17430.0,.99,2,,19.4,66.0,327.19716629,0.0,,0.0,0.1111111111111111
"Tuesday, Apr 11",TEX,Home,KCR,W-wo,8.0,5.0,10.0,7-4,1.0,up 1.0,Ragans,Barlow,None,2.85,N,17760.0,1.05,3,,18.3,63.0,57.19716629,0.0,,9.4,0.07407407407407407
"Wednesday, Apr 12",TEX,Home,KCR,L,1.0,10.0,9.0,7-5,1.0,Tied,Keller,Eovaldi,None,2.4,N,18380.0,1.07,-1,,18.9,50.0,107.19716629,0.0,,7.6,0.07407407407407407
"Friday, Apr 14",TEX,@,HOU,W,6.0,2.0,9.0,8-5,1.0,up 1.0,Pérez,Garcia,None,2.7666666666666666,N,39343.0,1.12,1,,20.0,68.0,166.82615859999999,0.0,,18.4,0.07407407407407407
"Saturday, Apr 15",TEX,@,HOU,L,2.0,8.0,9.0,8-6,1.0,up 1.0,Brown,Ragans,None,2.5833333333333335,N,39257.0,1.17,-1,,22.0,88.0,156.82615859999999,0.0,,20.5,0.18518518518518517
"Sunday, Apr 16",TEX,@,HOU,W,9.0,1.0,9.0,9-6,1.0,up 1.5,Burke,Valdez,None,2.9833333333333334,N,39122.0,1.09,1,,27.0,62.0,346.8261586,0.0,,43.0,0.1111111111111111
"Monday, Apr 17",TEX,@,KCR,W,4.0,0.0,9.0,10-6,1.0,up 2.0,Dunning,Lyles,None,2.033333333333333,N,11068.0,1.08,2,,11.1,29.0,243.28981806000002,0.0,,14.8,0.037037037037037035
"Tuesday, Apr 18",TEX,@,KCR,W,12.0,2.0,9.0,11-6,1.0,up 2.0,Eovaldi,Keller,None,2.6666666666666665,N,12118.0,1.11,3,,16.7,31.0,23.28981806,0.0,,11.2,0.037037037037037035
"Wednesday, Apr 19",TEX,@,KCR,W,12.0,3.0,9.0,12-6,1.0,up 3.0,Pérez,Singer,None,2.6666666666666665,D,10388.0,1.13,4,,23.9,45.0,123.28981806,0.0,,18.4,0.1111111111111111
"Friday, Apr 21",TEX,Home,OAK,L,4.0,5.0,9.0,12-7,1.0,up 2.5,Jackson,Smith,Familia,2.9333333333333336,N,28775.0,1.17,-1,,17.8,90.0,357.19716629,9.7,,14.8,0.25925925925925924
"Saturday, Apr 22",TEX,Home,OAK,W,18.0,3.0,9.0,13-7,1.0,up 2.5,Heaney,Fujinami,None,2.75,N,32388.0,1.11,1,,18.3,37.0,357.19716629,0.0,,7.6,0.07407407407407407
"Sunday, Apr 23",TEX,Home,OAK,W,5.0,2.0,9.0,14-7,1.0,up 2.5,deGrom,Muller,Smith,2.5166666666666666,D,34916.0,1.17,2,,13.9,42.0,357.19716629,0.0,,20.5,0.14814814814814814
"Monday, Apr 24",TEX,@,CIN,L-wo,6.0,7.0,9.0,14-8,1.0,up 2.5,Díaz,Leclerc,None,2.6,N,8810.0,1.14,-1,,5.6,67.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Tuesday, Apr 25",TEX,@,CIN,L,6.0,7.0,9.0,14-9,1.0,up 1.5,Sanmartin,Kennedy,Díaz,2.5666666666666664,N,9969.0,1.15,-2,,2.8,78.0,237.65726460000002,0.0,,0.0,0.037037037037037035
"Wednesday, Apr 26",TEX,@,CIN,L-wo,3.0,5.0,9.0,14-10,1.0,up 0.5,Sims,Hernández,None,2.5666666666666664,D,10256.0,1.11,-3,,9.4,77.0,237.65726460000002,0.0,,0.0,0.1111111111111111
"Thursday, Apr 27",TEX,Home,NYY,L,2.0,4.0,9.0,14-11,1.0,Tied,Cole,Heaney,King,2.15,N,31325.0,1.15,-4,,15.6,90.0,17.19716629,0.0,,9.4,0.9259259259259259
"Friday, Apr 28",TEX,Home,NYY,W,5.0,2.0,9.0,15-11,1.0,up 1.0,Dunning,Schmidt,Smith,2.3333333333333335,N,36341.0,1.12,1,,16.1,70.0,327.19716629,0.0,,0.0,0.07407407407407407
"Saturday, Apr 29",TEX,Home,NYY,W,2.0,0.0,9.0,16-11,1.0,up 2.0,Eovaldi,Brito,None,2.1,N,40027.0,1.15,2,,14.4,75.0,297.19716629,0.0,,40.7,0.2962962962962963
