Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Thursday, Mar 30",TOR,@,STL,W,10.0,9.0,9.0,1-0,1.0,Tied,García,Helsley,Romano,3.6333333333333333,D,47649.0,.87,1,,8.3,56.0,57.30370856,0.0,,7.6,0.07407407407407407
"Saturday, Apr 1",TOR,@,STL,L,1.0,4.0,9.0,1-1,2.0,1.0,Flaherty,Gausman,Helsley,2.5166666666666666,D,44461.0,.93,-1,,17.2,65.0,187.30370856,0.0,,16.6,0.07407407407407407
"Sunday, Apr 2",TOR,@,STL,L,4.0,9.0,9.0,1-2,4.0,2.0,Montgomery,Bassitt,None,2.4833333333333334,D,45525.0,.88,-2,,7.2,65.0,297.30370856,0.0,,0.0,0.037037037037037035
"Monday, Apr 3",TOR,@,KCR,L,5.0,9.0,9.0,1-3,5.0,3.0,Singer,Berríos,None,2.6166666666666667,N,10810.0,.89,-3,,22.2,41.0,83.28981806,0.0,,7.6,0.037037037037037035
"Tuesday, Apr 4",TOR,@,KCR,W,4.0,1.0,9.0,2-3,4.0,3.0,Kikuchi,Bubic,Romano,2.533333333333333,N,12123.0,.85,1,,17.2,54.0,3.2898180600000018,0.0,,18.4,0.037037037037037035
"Wednesday, Apr 5",TOR,@,KCR,W,3.0,0.0,9.0,3-3,3.0,3.0,Manoah,Greinke,Romano,2.283333333333333,N,10015.0,.88,2,,25.0,62.0,133.28981806000002,0.0,,38.9,0.1111111111111111
"Thursday, Apr 6",TOR,@,KCR,W,6.0,3.0,9.0,4-3,3.0,2.5,Gausman,Lyles,Cimber,2.5,D,10401.0,.92,3,,7.8,37.0,253.28981806000002,0.0,,5.4,0.037037037037037035
"Friday, Apr 7",TOR,@,LAA,W,4.0,3.0,9.0,5-3,2.0,2.5,Bassitt,Herget,Romano,2.55,N,44735.0,.99,4,,19.4,21.0,225.82863453,0.0,,7.6,0.037037037037037035
"Saturday, Apr 8",TOR,@,LAA,L,5.0,9.0,9.0,5-4,3.0,3.5,Barria,Berríos,None,2.6666666666666665,N,44534.0,1.02,-1,,18.3,43.0,235.82863453,0.0,,5.4,0.037037037037037035
"Sunday, Apr 9",TOR,@,LAA,W,12.0,11.0,10.0,6-4,3.0,3.5,Romano,Estévez,Mayza,3.5166666666666666,D,31092.0,1.01,1,,16.7,72.0,205.82863453,0.0,,5.4,0.1111111111111111
"Tuesday, Apr 11",TOR,Home,DET,W,9.0,3.0,9.0,7-4,2.0,4.0,Pop,Manning,None,2.4833333333333334,N,42053.0,1.00,2,,12.1,47.0,257.9095893,0.0,,24.8,0.1111111111111111
"Wednesday, Apr 12",TOR,Home,DET,W-wo,4.0,3.0,10.0,8-4,2.0,4.0,Romano,Shreve,None,2.6666666666666665,N,35300.0,.99,3,,19.5,39.0,290.9095893,0.0,,27.7,0.1111111111111111
"Thursday, Apr 13",TOR,Home,DET,L,1.0,3.0,9.0,8-5,2.0,5.0,Turnbull,Bassitt,Lange,2.8833333333333333,N,26192.0,1.03,-1,,17.8,49.0,243.9095893,0.0,,29.9,0.037037037037037035
"Friday, Apr 14",TOR,Home,TBR,W,6.0,3.0,9.0,9-5,2.0,4.0,Berríos,Rasmussen,Romano,2.6166666666666667,N,34822.0,1.10,1,,21.3,40.0,257.9095893,0.0,,28.4,0.1111111111111111
"Saturday, Apr 15",TOR,Home,TBR,W,5.0,2.0,9.0,10-5,2.0,3.0,Kikuchi,Kelley,Romano,2.5666666666666664,D,41679.0,1.18,2,,19.2,41.0,85.9095893,0.0,,13.7,0.1111111111111111
"Sunday, Apr 16",TOR,Home,TBR,L,1.0,8.0,9.0,10-6,2.0,4.0,McClanahan,Manoah,None,2.6666666666666665,D,39179.0,1.21,-1,,18.1,44.0,209.9095893,0.0,,7.9,0.1111111111111111
"Monday, Apr 17",TOR,@,HOU,L,2.0,9.0,9.0,10-7,3.0,4.0,Javier,Gausman,None,2.75,N,30873.0,1.06,-2,,20.0,30.0,6.826158599999985,0.0,,14.8,0.037037037037037035
"Tuesday, Apr 18",TOR,@,HOU,W,4.0,2.0,9.0,11-7,2.0,4.0,Bassitt,Urquidy,Romano,2.783333333333333,N,32602.0,1.04,1,,18.0,52.0,146.82615859999999,0.0,,20.5,0.1111111111111111
"Wednesday, Apr 19",TOR,@,HOU,L,1.0,8.0,9.0,11-8,4.0,5.0,Garcia,Berríos,None,2.4,N,40545.0,1.04,-1,,21.0,78.0,166.82615859999999,0.0,,16.6,0.07407407407407407
