Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO,Team,Weather Classified
"Thursday, Mar 30",ARI,@,LAD,L,2.0,8.0,9.0,0-1,3.0,1.0,Urías,Gallen,,2.583333333333333,N,52075.0,1.01,-1,,12.2,66.0,223.5154598,0.0,,5.4,0.037037037037037,ARI,0
"Friday, Mar 31",ARI,@,LAD,W,2.0,1.0,9.0,1-1,2.0,1.0,Jameson,Vesia,Chafin,2.6833333333333336,N,45389.0,0.97,1,,11.7,66.0,213.5154598,0.0,,5.4,0.037037037037037,ARI,0
"Saturday, Apr 1",ARI,@,LAD,L,1.0,10.0,9.0,1-2,4.0,1.0,Kershaw,Bumgarner,Jackson,2.2333333333333334,N,48886.0,1.03,-1,,13.0,77.0,244.5154598,0.0,,16.9,0.1111111111111111,ARI,0
"Sunday, Apr 2",ARI,@,LAD,W,2.0,1.0,9.0,2-2,1.0,Tied,Chafin,Graterol,McGough,2.533333333333333,D,46549.0,0.96,1,,15.0,67.0,214.5154598,0.0,,19.8,0.037037037037037,ARI,0
"Monday, Apr 3",ARI,@,SDP,L-wo,4.0,5.0,9.0,2-3,4.0,1.0,Hill,McGough,,2.4833333333333334,N,37602.0,1.01,-1,,15.0,69.0,280.2625247,0.0,,7.6,0.1111111111111111,ARI,0
"Tuesday, Apr 4",ARI,@,SDP,W,8.0,6.0,9.0,3-3,2.0,1.0,Ginkel,García,Jameson,2.9166666666666665,D,34542.0,1.01,1,,13.3,60.0,290.2625247,0.0,,18.4,0.1111111111111111,ARI,0
"Thursday, Apr 6",ARI,Home,LAD,L,2.0,5.0,9.0,3-4,3.0,2.0,May,Kelly,Phillips,2.716666666666667,N,48034.0,1.06,-1,,17.8,11.0,250.25083210000005,0.0,,13.0,0.074074074074074,ARI,1
"Friday, Apr 7",ARI,Home,LAD,W,6.0,3.0,9.0,4-4,2.0,1.0,Jameson,Kershaw,,2.466666666666667,N,30249.0,0.98,1,,22.2,13.0,270.2508321,0.0,,13.0,0.1111111111111111,ARI,2
"Saturday, Apr 8",ARI,Home,LAD,W,12.0,8.0,9.0,5-4,1.0,Tied,Nelson,Syndergaard,,2.716666666666667,N,26881.0,1.03,2,,25.6,10.0,290.2508321,0.0,,14.8,0.074074074074074,ARI,3
"Sunday, Apr 9",ARI,Home,LAD,W,11.0,6.0,9.0,6-4,1.0,Tied,Nelson,Grove,,2.75,D,18543.0,1.1,3,,27.2,8.0,300.2508321,0.0,,14.8,0.074074074074074,ARI,3
"Monday, Apr 10",ARI,Home,MIL,W,3.0,0.0,9.0,7-4,1.0,up 1.0,Gallen,Miley,Chafin,2.2,N,12681.0,1.07,4,,27.2,14.0,230.25083210000005,0.0,,7.6,0.074074074074074,ARI,3
"Tuesday, Apr 11",ARI,Home,MIL,L,1.0,7.0,9.0,7-5,1.0,Tied,Burnes,Kelly,,2.3166666666666664,N,17069.0,1.08,-1,,35.0,6.0,0.2508321000000251,0.0,,0.0,0.074074074074074,ARI,3
"Wednesday, Apr 12",ARI,Home,MIL,W,7.0,3.0,9.0,8-5,1.0,up 1.0,Nelson,Junk,,2.6666666666666665,D,13136.0,1.05,1,,34.4,9.0,280.2508321,0.0,,20.5,0.074074074074074,ARI,3
"Friday, Apr 14",ARI,@,MIA,L,1.0,5.0,9.0,8-6,1.0,up 1.0,Rogers,Bumgarner,,2.183333333333333,N,10961.0,1.14,-1,,25.0,79.0,331.8678115,0.0,,9.4,0.1111111111111111,ARI,3
"Saturday, Apr 15",ARI,@,MIA,L,2.0,3.0,9.0,8-7,1.0,Tied,Nardi,McGough,Scott,2.55,D,11038.0,1.09,-2,,26.7,85.0,231.8678115,0.0,,0.0,0.1111111111111111,ARI,3
"Sunday, Apr 16",ARI,@,MIA,W,5.0,0.0,9.0,9-7,1.0,up 1.0,Gallen,Alcántara,,2.183333333333333,D,15314.0,1.07,1,,26.7,82.0,1.867811499999988,0.0,,13.0,0.074074074074074,ARI,3
"Monday, Apr 17",ARI,@,STL,W,6.0,3.0,9.0,10-7,1.0,up 2.0,Kelly,Flaherty,Chafin,2.4,N,36405.0,1.08,2,,8.3,54.0,227.30370856,0.0,,20.5,0.1111111111111111,ARI,0
"Tuesday, Apr 18",ARI,@,STL,W,8.0,7.0,9.0,11-7,1.0,up 2.0,Nelson,Montgomery,Castro,3.1,N,36028.0,1.13,3,,12.2,43.0,197.30370856,0.0,,7.6,0.037037037037037,ARI,0
"Wednesday, Apr 19",ARI,@,STL,L,5.0,14.0,9.0,11-8,1.0,up 2.0,Woodford,Bumgarner,,2.9833333333333334,D,39068.0,1.16,-1,,17.2,56.0,27.30370856,0.0,,9.4,0.074074074074074,ARI,1
"Thursday, Apr 20",ARI,Home,SDP,L,5.0,7.0,9.0,11-9,1.0,up 1.0,Honeywell,Nelson,Hader,2.966666666666667,N,16734.0,1.21,-2,,23.3,12.0,250.25083210000005,0.0,,18.4,0.074074074074074,ARI,2
"Friday, Apr 21",ARI,Home,SDP,W,9.0,0.0,9.0,12-9,1.0,up 2.0,Gallen,Lugo,,2.533333333333333,N,21308.0,1.17,1,,25.0,12.0,240.25083210000005,0.0,,13.0,0.037037037037037,ARI,2
"Saturday, Apr 22",ARI,Home,SDP,L,3.0,5.0,9.0,12-10,1.0,up 1.0,Musgrove,Kelly,Hader,2.8,N,28419.0,1.17,-1,,28.3,10.0,230.25083210000005,0.0,,7.6,0.074074074074074,ARI,3
"Sunday, Apr 23",ARI,Home,SDP,L,5.0,7.0,9.0,12-11,1.0,Tied,Darvish,Jameson,Hader,3.0166666666666666,D,23655.0,1.16,-2,,31.1,12.0,310.2508321,0.0,,22.3,0.1111111111111111,ARI,3
"Monday, Apr 24",ARI,Home,KCR,W,5.0,4.0,9.0,13-11,1.0,up 0.5,Chafin,Chapman,,2.9333333333333336,N,9815.0,0.99,1,,31.7,11.0,280.2508321,0.0,,13.0,0.074074074074074,ARI,3
"Tuesday, Apr 25",ARI,Home,KCR,L,4.0,5.0,9.0,13-12,2.0,0.5,Singer,Nelson,Barlow,2.7,N,13835.0,1.04,-1,,27.8,12.0,220.25083210000005,0.0,,9.4,0.074074074074074,ARI,3
"Wednesday, Apr 26",ARI,Home,KCR,W,2.0,0.0,9.0,14-12,1.0,up 0.5,Gallen,Yarbrough,Chafin,2.5166666666666666,D,14343.0,0.98,1,,27.8,22.0,230.25083210000005,0.0,,18.4,0.074074074074074,ARI,3
"Friday, Apr 28",ARI,@,COL,W,9.0,1.0,9.0,15-12,1.0,up 1.0,Kelly,Freeland,,2.7666666666666666,N,24197.0,1.1,2,,10.0,56.0,357.037509228,0.2,,29.6,0.2592592592592592,ARI,0
"Saturday, Apr 29",ARI,@,COL,W,11.0,4.0,9.0,16-12,1.0,up 1.0,Henry,Davis,,2.833333333333333,N,34399.0,1.12,3,,10.6,31.0,343.037509228,0.0,,14.8,0.074074074074074,ARI,0
"Sunday, Apr 30",ARI,@,COL,L,4.0,12.0,9.0,16-13,1.0,Tied,Gomber,Nelson,,2.5166666666666666,D,31900.0,1.13,-1,,17.6,25.0,339.037509228,0.0,,14.8,0.074074074074074,ARI,1
"Tuesday, May 2",ARI,@,TEX,L,4.0,6.0,9.0,16-14,2.0,1.5,Burke,McGough,Smith,2.95,N,23086.0,1.05,-2,,18.9,38.0,67.19716629,0.0,,11.2,0.074074074074074,ARI,1
"Wednesday, May 3",ARI,@,TEX,W,12.0,7.0,9.0,17-14,2.0,1.5,Mantiply,Sborz,,3.083333333333333,D,21427.0,1.06,1,,21.1,53.0,327.19716629,0.0,,0.0,0.1481481481481481,ARI,2
"Friday, May 5",ARI,Home,WSN,W,3.0,1.0,9.0,18-14,2.0,0.5,Kelly,Gray,Chafin,2.2,N,16384.0,1.13,2,,23.9,18.0,280.2508321,0.0,,24.1,0.074074074074074,ARI,2
"Saturday, May 6",ARI,Home,WSN,W-wo,8.0,7.0,9.0,19-14,2.0,0.5,Castro,Finnegan,,2.8166666666666664,N,27345.0,1.17,3,,26.1,17.0,270.2508321,0.0,,25.9,0.074074074074074,ARI,3
"Sunday, May 7",ARI,Home,WSN,L,8.0,9.0,9.0,19-15,2.0,1.5,Ramírez,Castro,Harvey,3.3,D,17174.0,1.18,-1,,26.7,17.0,290.2508321,0.0,,16.6,0.074074074074074,ARI,3
"Monday, May 8",ARI,Home,MIA,W,5.0,2.0,9.0,20-15,2.0,0.5,Gallen,Garrett,,2.55,N,9071.0,1.14,1,,28.9,13.0,290.2508321,0.0,,16.6,0.074074074074074,ARI,3
"Tuesday, May 9",ARI,Home,MIA,L,2.0,6.0,9.0,20-16,2.0,1.5,Luzardo,Pfaadt,,2.4833333333333334,N,13608.0,1.21,-1,,30.6,12.0,290.2508321,0.0,,18.4,0.037037037037037,ARI,3
"Wednesday, May 10",ARI,Home,MIA,L,4.0,5.0,9.0,20-17,2.0,2.5,Floro,Chafin,Puk,2.75,D,10482.0,1.18,-2,,31.1,11.0,260.2508321,0.0,,18.4,0.074074074074074,ARI,3
"Thursday, May 11",ARI,Home,SFG,L,2.0,6.0,9.0,20-18,2.0,3.0,Cobb,Henry,,2.75,N,15582.0,1.17,-3,,23.9,16.0,250.25083210000005,0.0,,7.6,0.074074074074074,ARI,2
