offensive_score,offensive_score,offensive_score,offensive_score,defensive_score,defensive_score,defensive_score,defensive_score
0,1,2,3,0,1,2,3
131.0,103.0,122.0,376.0,104.0,135.0,107.0,410.0
116.0,159.0,348.0,244.0,90.0,138.0,277.0,160.0
185.0,160.0,233.0,219.0,154.0,163.0,171.0,179.0
253.0,120.0,226.0,140.0,245.0,161.0,201.0,142.0
220.0,170.0,281.0,140.0,203.0,158.0,228.0,129.0
148.0,149.0,161.0,148.0,207.0,174.0,214.0,207.0
166.0,260.0,206.0,122.0,202.0,248.0,217.0,130.0
184.0,162.0,138.0,161.0,196.0,163.0,142.0,170.0
196.0,182.0,128.0,195.0,242.0,218.0,204.0,274.0
176.0,150.0,180.0,104.0,193.0,169.0,230.0,90.0
127.0,121.0,138.0,441.0,86.0,94.0,109.0,409.0
82.0,123.0,188.0,267.0,147.0,138.0,236.0,312.0
150.0,198.0,207.0,149.0,127.0,247.0,247.0,164.0
223.0,286.0,194.0,185.0,155.0,231.0,183.0,122.0
73.0,65.0,127.0,384.0,102.0,65.0,115.0,419.0
221.0,165.0,212.0,130.0,202.0,141.0,195.0,109.0
181.0,229.0,167.0,201.0,146.0,167.0,186.0,160.0
157.0,153.0,217.0,133.0,169.0,174.0,191.0,124.0
192.0,167.0,129.0,149.0,150.0,152.0,171.0,183.0
217.0,206.0,47.0,115.0,373.0,273.0,97.0,181.0
228.0,125.0,229.0,158.0,228.0,127.0,187.0,119.0
179.0,243.0,184.0,55.0,193.0,281.0,237.0,67.0
161.0,319.0,164.0,95.0,166.0,233.0,150.0,70.0
201.0,216.0,197.0,144.0,167.0,198.0,172.0,122.0
327.0,189.0,121.0,30.0,288.0,209.0,130.0,78.0
143.0,191.0,219.0,153.0,197.0,217.0,225.0,180.0
126.0,90.0,271.0,330.0,87.0,60.0,191.0,303.0
125.0,212.0,161.0,383.0,98.0,123.0,148.0,347.0
195.0,244.0,193.0,103.0,164.0,257.0,153.0,91.0
