Team,Weather Classified,offensive_score,defensive_score
ARI,0,131.0,104.0
ARI,1,103.0,135.0
ARI,2,122.0,107.0
ARI,3,376.0,410.0
ATL,0,116.0,90.0
ATL,1,159.0,138.0
ATL,2,348.0,277.0
ATL,3,244.0,160.0
BAL,0,185.0,154.0
BAL,1,160.0,163.0
BAL,2,233.0,171.0
BAL,3,219.0,179.0
BOS,0,253.0,245.0
BOS,1,120.0,161.0
BOS,2,226.0,201.0
BOS,3,140.0,142.0
CHC,0,220.0,203.0
CHC,1,170.0,158.0
CHC,2,281.0,228.0
CHC,3,140.0,129.0
CHW,0,148.0,207.0
CHW,1,149.0,174.0
CHW,2,161.0,214.0
CHW,3,148.0,207.0
CIN,0,166.0,202.0
CIN,1,260.0,248.0
CIN,2,206.0,217.0
CIN,3,122.0,130.0
CLE,0,184.0,196.0
CLE,1,162.0,163.0
CLE,2,138.0,142.0
CLE,3,161.0,170.0
COL,0,196.0,242.0
COL,1,182.0,218.0
COL,2,128.0,204.0
COL,3,195.0,274.0
DET,0,176.0,193.0
DET,1,150.0,169.0
DET,2,180.0,230.0
DET,3,104.0,90.0
HOU,0,127.0,86.0
HOU,1,121.0,94.0
HOU,2,138.0,109.0
HOU,3,441.0,409.0
KCR,0,82.0,147.0
KCR,1,123.0,138.0
KCR,2,188.0,236.0
KCR,3,267.0,312.0
LAA,0,150.0,127.0
LAA,1,198.0,247.0
LAA,2,207.0,247.0
LAA,3,149.0,164.0
LAD,0,223.0,155.0
LAD,1,286.0,231.0
LAD,2,194.0,183.0
LAD,3,185.0,122.0
MIA,0,73.0,102.0
MIA,1,65.0,65.0
MIA,2,127.0,115.0
MIA,3,384.0,419.0
MIL,0,221.0,202.0
MIL,1,165.0,141.0
MIL,2,212.0,195.0
MIL,3,130.0,109.0
MIN,0,181.0,146.0
MIN,1,229.0,167.0
MIN,2,167.0,186.0
MIN,3,201.0,160.0
NYM,0,157.0,169.0
NYM,1,153.0,174.0
NYM,2,217.0,191.0
NYM,3,133.0,124.0
NYY,0,192.0,150.0
NYY,1,167.0,152.0
NYY,2,129.0,171.0
NYY,3,149.0,183.0
OAK,0,217.0,373.0
OAK,1,206.0,273.0
OAK,2,47.0,97.0
OAK,3,115.0,181.0
PHI,0,228.0,228.0
PHI,1,125.0,127.0
PHI,2,229.0,187.0
PHI,3,158.0,119.0
PIT,0,179.0,193.0
PIT,1,243.0,281.0
PIT,2,184.0,237.0
PIT,3,55.0,67.0
SDP,0,161.0,166.0
SDP,1,319.0,233.0
SDP,2,164.0,150.0
SDP,3,95.0,70.0
SEA,0,201.0,167.0
SEA,1,216.0,198.0
SEA,2,197.0,172.0
SEA,3,144.0,122.0
SFG,0,327.0,288.0
SFG,1,189.0,209.0
SFG,2,121.0,130.0
SFG,3,30.0,78.0
STL,0,143.0,197.0
STL,1,191.0,217.0
STL,2,219.0,225.0
STL,3,153.0,180.0
TBR,0,126.0,87.0
TBR,1,90.0,60.0
TBR,2,271.0,191.0
TBR,3,330.0,303.0
TEX,0,125.0,98.0
TEX,1,212.0,123.0
TEX,2,161.0,148.0
TEX,3,383.0,347.0
TOR,0,195.0,164.0
TOR,1,244.0,257.0
TOR,2,193.0,153.0
TOR,3,103.0,91.0
